rid,pattern_id,pattern_name,category_id,role,confidence,review_status,assignment_method,evidence_location,evidence_quote,system_id,source_batch,taxonomy_version
640,pat-095,Manual Fallback Editing,U06,present,high,verified,imported,fig 5,Users can manually fine-tune LFs based on evaluation results (A) and generate keyword-based LFs (B) according to sample characteristics (C).,640,include,v1.1
643,pat-005,Branching Exploration,U05,present,medium,verified,imported,fig 1,The navigation view (B) allows users to enter a question and presents tree navigation to switch between answer perspectives.,supqa,include,v1.1
643,pat-020,Inspectable Intermediate Steps,U07,present,low,needs_review,imported,fig 2,Rewrite the question based on few-shot to generate pseudo-documentation.,supqa,include,v1.1
643,pat-034,Artifact Generation Property Controls,U01,present,medium,verified,imported,system sec 5.3,"The annotation view (Figure 1.C) allows for parameter settings, POI filtering by 12 categories and 114 classes, and precise targeting via TopK measures control.",supqa,include,v1.1
643,pat-036,Overview-plus-Detail,U07,central,medium,verified,imported,abstract,We integrate progressive navigation and multi-geographic scale analysis in our visualization system,supqa,include,v1.1
643,pat-051,Elements for Process Disclosure,U07,present,medium,verified,imported,abstract,explaining the reasoning process and streamlining users’ decision-making workflow,supqa,include,v1.1
643,pat-086,Fixed Functional Panel Layout,U09,central,high,verified,imported,system sec 5,"The system consists of three main views: map view, navigation view, and annotation view, as shown in Figure 1.",supqa,include,v1.1
643,pat-092,Natural-Language Control,U01,central,high,verified,imported,abstract,"we introduce SUPQA, a novel approach for urban performance exploration using natural language as input and interactive geographic visualizations as output",supqa,include,v1.1
650,pat-020,Inspectable Intermediate Steps,U07,central,high,verified,imported,system sec 4.1,"we rely on algorithms to compute descriptive statistics and data facts for the highlighted data points through an intermediate data fact layer, ensuring accurate and efficient computation by delegating tasks to algorithms instead of LLMs",dataweaver,include,v1.1
650,pat-021,Localized Tweaking Support,U06,central,high,verified,imported,abstract,"DATAW EAVER enables users to create data narratives anchored to data facts derived from “call-out” interactions, i.e., user-initiated highlights of visualization elements that prompt relevant narrative content.",dataweaver,include,v1.1
650,pat-030,Two-Way Sync View,U06,present,medium,verified,imported,abstract,"we present an integrated authoring framework and system, DATAW EAVER, that supports both visualization-to-text and text-to-visualization composition",dataweaver,include,v1.1
650,pat-039,Spatial Canvas,U01,present,medium,verified,imported,fig 2,"The Authoring Canvas A is a flow-based, zoomable interface where users can add vis-nodes ( V ) using a visualization engine and text-nodes ( T ), as well as edges to connect them.",dataweaver,include,v1.1
651,pat-032,Source Conditioned Generation,U01,present,high,verified,imported,abstract,improve the accuracy of our descriptions by prompting GPT4-turbo with heuristic-based alt text or data tables parsed from the Matplotlib figure,matplotalt,include,v1.1
651,pat-034,Artifact Generation Property Controls,U01,present,high,verified,imported,fig 1,desc_level=3 indicates that the description includes,matplotalt,include,v1.1
651,pat-074,Non-Readable to Natural Language Conversion,U04,central,high,verified,imported,fig 2,Heuristic-based alt text of a given semantic level is generated from Matplotlib figure attributes using the generate_alt_text function.,matplotalt,include,v1.1
651,pat-087,Dual Artifact Presentation Modes,U09,present,medium,verified,imported,fig 2,"Alternatively, VLM-based descriptions can be generated with the figure as input using generate_api_alt_text.",matplotalt,include,v1.1
651,pat-088,AI Panels for Host Application,U09,central,medium,verified,imported,fig 1,MatplotAlt can be used to generate and surface Matplotlib alt text in a single line of code.,matplotalt,include,v1.1
666,pat-001,Linked Views,U07,present,medium,verified,imported,fig 1,ViBEx interface: data view 1 with a collection of generated images corresponding to concepts in 3 . Bias visualizations: 2 strip plots 2A showing image-to-text similarities for selected test concepts and intersectional bias scatterplot 2B showing the bivariate distribution of two intersected test concepts.,666,include,v1.1
666,pat-005,Branching Exploration,U05,central,medium,verified,imported,fig 3,"The root node “picture” is part of all prompts. Anchor concepts (in red) represent the classes c1 , c2 ∈ C, for which we probe different test concepts ti ∈ T (blue) for potential bias.",666,include,v1.1
666,pat-007,Perturb-and-Compare,U05,central,high,verified,imported,fig 2,"The ViBEx workflow: Users define anchor and test concepts and subsequently perform bias queries, resulting in bias candidates.",666,include,v1.1
666,pat-036,Overview-plus-Detail,U07,present,medium,verified,imported,abstract,"It additionally supports in-depth confirmatory bias analysis through visual inspection of forward, intersectional, and inverse bias queries.",666,include,v1.1
743,pat-024,Program-as-Output,U06,central,high,verified,imported,full text intro,"Rather than generating the geometries directly, we generate CAD programs that produce the geometric structures.",743,include-b,v1.1
743,pat-033,Output Templates,U03,central,medium,verified,imported,full text sec 3.4,"AIDL models are first validated to ensure that each substructure is independently solvable, then compiled into a hierarchy of geometric constraint problems",743,include-b,v1.1
743,pat-092,Natural-Language Control,U01,present,medium,verified,imported,full text sec 4,AIDL enables LLM-driven text-to-CAD through a front-end generation pipeline.,743,include-b,v1.1
832,pat-036,Overview-plus-Detail,U07,present,medium,verified,imported,abstract,"We developed ImageExplorer, a touch-based multi-layered image exploration system that allows users to explore the spatial layout and information hierarchies of images",imageexplorer,include,v1.1
832,pat-064,Nonvisual Navigation,U04,central,high,verified,imported,fig 1,"The frst information layer shows primary objects in the image outlined with polygonal boundaries. After double tapping on an object, users enter the second information layer, which shows rectangular bounding boxes around various detailed sub-objects.",imageexplorer,include,v1.1
869,pat-034,Artifact Generation Property Controls,U01,central,high,verified,imported,system sec 3.2,The output image of the generative model is the sum of all slider edits.,ganslider,include,v1.1
869,pat-087,Dual Artifact Presentation Modes,U09,present,medium,verified,imported,fig 1,We study different numbers of sliders and two designs: (a) Regular sliders and (b) Filmstrip sliders that provide feedforward information via preview images.,ganslider,include,v1.1
910,pat-009,Proactive Support,U02,central,high,verified,imported,abstract,"Then, without allocating dedicated time for studying, the user can become familiarized with how the words are used by seeing the example usages during daily activities, such as Web browsing.",vocabencounter,include,v1.1
910,pat-011,Live Activity Output Synchronization,U02,present,medium,verified,imported,abstract,"we introduce VocabEncounter, a vocabulary-learning system that suitably encapsulates the given words into materials the user is reading in near real time by leveraging recent NLP techniques",vocabencounter,include,v1.1
910,pat-088,AI Panels for Host Application,U09,central,high,verified,imported,fig 2,Example pipeline of how VocabEncounter presents translated phrases containing specifed foreign words in our proof-of-concept Chrome extension.,vocabencounter,include,v1.1
965,pat-011,Live Activity Output Synchronization,U02,central,high,verified,imported,abstract,the real-time transformation of children’s telling into drawings,storydrawer,include,v1.1
965,pat-060,Multimodal Input,U04,central,high,verified,imported,system sec 4.1,"Users press the speak button (Figure 2(e)) to communicate with the voice agent, and the dialog box displays the agent’s words in real time (Figure 2(a)).",storydrawer,include,v1.1
965,pat-072,Low Detail Outlines with User-Filled Specificity,U03,present,medium,verified,imported,abstract,the generation of abstract sketches with semantic similarity to existing story content,storydrawer,include,v1.1
965,pat-086,Fixed Functional Panel Layout,U09,present,medium,verified,imported,fig 2,"The user interface of StoryDrawer includes (a) Voice Agent Dialog Box, (b) Drawing Tools, (c) Canvas, (d) Idea Button, and (e) Speak Button.",storydrawer,include,v1.1
965,pat-090,On-Demand Suggestion,U02,central,medium,verified,imported,fig 3,"after the child presses the idea button, StoryDrawer generates an initial sketch and prompts children to convert the sketc",storydrawer,include,v1.1
965,pat-091,In-Situ Agent Presence,U09,central,high,verified,imported,fig 3,"when the child narrates “There were two pink fowers on the roadside,” the system extracts three keywords— “two,” “pink,” and “fower”—and draws two pink fowers in real time",storydrawer,include,v1.1
969,pat-020,Inspectable Intermediate Steps,U07,central,high,verified,imported,abstract,"To facilitate the construction of the knowledge graphs, we propose a hybrid human-AI annotation tool",promptiverse,include,v1.1
969,pat-032,Source Conditioned Generation,U01,central,high,verified,imported,fig 1,lecture designers can create a large number of diverse scaffolding prompts by extracting rich knowledge graphs from a video script,promptiverse,include,v1.1
969,pat-033,Output Templates,U03,central,high,verified,imported,fig 2,Different types of single prompts that vary by which knowledge elements in the triplet are provided or hidden.,promptiverse,include,v1.1
969,pat-095,Manual Fallback Editing,U06,present,medium,verified,imported,fig 1,"These knowledge graphs can be efficiently extracted with the help of Grannotate, a human-AI hybrid graph annotation tool.",promptiverse,include,v1.1
973,pat-010,Prefilled Editable Templates,U06,present,medium,verified,imported,system sec 4.1,"After a story is generated, writers can freely edit it or even try the generation again to see another story from TaleBrush.",talebrush,include,v1.1
973,pat-023,Goal Decomposition,U08,present,medium,verified,imported,intro,they would need to specify different parameters to different parts of the story,talebrush,include,v1.1
973,pat-034,Artifact Generation Property Controls,U01,central,medium,verified,imported,fig 1,"In our prototype, the protagonist’s ‘fortune’ is controllable.",talebrush,include,v1.1
973,pat-040,Sketch-Based Input,U01,central,high,verified,imported,fig 1,"TaleBrush uses a line sketching interaction for intuitive control and sensemaking of story generation with GPTbased language models, closing the gap in the iterative co-creation process between humans and AI.",talebrush,include,v1.1
1137,pat-002,Candidate Gallery,U05,present,high,verified,imported,system sec 3,"Given this input, GenLine executes the chosen prompt and produces multiple alternatives, which are de-duplicated and presented to the user (users can cycle through each unique output).",1137,include,v1.1
1137,pat-021,Localized Tweaking Support,U06,central,high,verified,imported,system sec 3,Users specify model input by surrounding it with double brackets3 .,1137,include,v1.1
1137,pat-090,On-Demand Suggestion,U02,central,high,verified,imported,system sec 3,"GenLine’s design provides an interaction style more similar to invoking a command, and less like autocomplete: the user must explicitly specify the input to send to the model",1137,include,v1.1
1137,pat-092,Natural-Language Control,U01,present,medium,verified,imported,abstract,"In this paper, we present a natural language code synthesis tool, GenLine, backed by 1) a large generative language model and 2) a set of task-specifc prompts that create or change code.",1137,include,v1.1
1168,pat-002,Candidate Gallery,U05,central,high,verified,imported,system sec 4.1.3,"Under each property, the palette presents a list of values: the current value for the property (Fig. 3a), the default or original value (Fig. 3b), and a set of value suggestions (Fig. 3c).",stylette,include,v1.1
1168,pat-021,Localized Tweaking Support,U06,central,high,verified,imported,fig 2,"When activated, the system shows a blue border (a) over components the user has hovered-on or clicked.",stylette,include,v1.1
1168,pat-022,Artifact Derived Controls,U01,central,medium,verified,imported,system sec 4,The system interprets the user’s request through an NLP pipeline trained on vague language (DG1) to present a palette that consists of multiple CSS properties (DG2) that could be changed to satisfy the request.,stylette,include,v1.1
1168,pat-060,Multimodal Input,U04,present,medium,verified,imported,system sec 4,a system that enables end-users to change the visual design of any website by simply clicking on a component and saying what change they want to see,stylette,include,v1.1
1168,pat-088,AI Panels for Host Application,U09,central,high,verified,imported,system sec 4,"Stylette is implemented as a Chrome Extension and, using a method similar to Tanner et al.’s [58], it saves the user’s changes in the browser’s memory so that they persist when the user returns to the page.",stylette,include,v1.1
1168,pat-092,Natural-Language Control,U01,central,high,verified,imported,abstract,"We present Stylette, a browser extension that enables users to change the style of websites by expressing goals in natural language.",stylette,include,v1.1
1174,pat-033,Output Templates,U03,present,medium,verified,imported,abstract,"The PD revealed varied assessment and educational goals of parents, which StoryBuddy addressed by supporting configuring question types and tracking child progress.",storybuddy,include,v1.1
1174,pat-047,Role Asymmetric Views,U10,central,high,verified,imported,fig 3,The directions of the pointers on modules indicate whether the module interacts with the parents (right) or the children (left).,storybuddy,include,v1.1
1174,pat-048,Simulated Counterparts,U10,central,high,verified,imported,abstract,StoryBuddy’s design highlighted the need for accommodating dynamic user needs between the desire for parent involvement and parent-child bonding and the goal of minimizing parent intervention when busy.,storybuddy,include,v1.1
1174,pat-095,Manual Fallback Editing,U06,present,medium,verified,imported,abstract,"we developed StoryBuddy, an AI-enabled system for parents to create interactive storytelling experiences",storybuddy,include,v1.1
1322,pat-020,Inspectable Intermediate Steps,U07,central,high,verified,imported,abstract,"We first define a set of LLM primitive operations useful for Chain construction, then present an interactive system where users can modify these Chains, along with their intermediate results, in a modular way.",1322,include,v1.1
1322,pat-023,Goal Decomposition,U08,central,high,verified,imported,abstract,debugged unexpected model outputs by “unit-testing” sub-components of a Chain,1322,include,v1.1
1322,pat-086,Fixed Functional Panel Layout,U09,present,high,verified,imported,fig 3,"It consists of (A) a Chain view that depicts the high level Chaining structure, and (B/C) a Step view that allows for refining and executing each LLM step.",1322,include,v1.1
1373,pat-052,Color Coded Content,U07,present,medium,verified,imported,fig 1,"Each session starts with a prompt (black text). Writers then freely write (brown), request suggestions from GPT-3 (blue), acc",coauthor,include-b,v1.1
1373,pat-080,Revisitable History,U08,central,high,verified,imported,abstract,The dataset and an interface for replaying the writing sessions are publicly available at https://coauthor.stanford.edu.,coauthor,include-b,v1.1
1373,pat-090,On-Demand Suggestion,U02,central,high,verified,imported,fig 3,Our interface was a text editor in which writers press the tab key to get suggestions from the system whenever desired.,coauthor,include-b,v1.1
1396,pat-001,Linked Views,U07,central,high,verified,imported,abstract,NB2Slides also provides an interactive visualization that links the slides with the notebook to help users further edit the slides.,1396,include-b,v1.1
1396,pat-033,Output Templates,U03,present,medium,verified,imported,system sec 5,"Sections that participants modified or removed, organized by the participants’ configuration whether the audience background has technical or non-technical background. “*” denotes the content of this section is generated using examplebased approach.",1396,include-b,v1.1
1396,pat-086,Fixed Functional Panel Layout,U09,present,high,verified,imported,fig 1,"Users can open their jupyter notebook (A) and configure the slides generation (B). Using the notebook overview (C1-3), they can navigate through the notebook. The generated slides are presented in (E1-3) with a slides outline overview (D).",1396,include-b,v1.1
1423,pat-032,Source Conditioned Generation,U01,central,high,verified,imported,fig 1,GANSpiration takes a preliminary design image as input then transforms it into a latent code.,ganspiration,include,v1.1
1423,pat-041,Pick and Combine,U05,central,high,verified,imported,fig 1,The style of the original input is then merged with a set of target latent codes to synthesize new examples.,ganspiration,include,v1.1
1452,pat-087,Dual Artifact Presentation Modes,U09,central,high,verified,imported,fig 1,"In Section 1, based on the assigned condition, the participant interacted with Rumi or the Form for the informed consent process and then completed a dummy study about social media use.",1452,include,v1.1
1457,pat-020,Inspectable Intermediate Steps,U07,central,high,verified,imported,abstract,"We propose grounded abstraction matching, which bridges the abstraction gap by translating the code back into a systematic and predictable naturalistic utterance.",1457,include,v1.1
1457,pat-025,Interpretation Readback,U07,central,high,verified,imported,fig 3,"The result is visible as a new column in the sheet (F1), and a grounded utterance representing the code is visible (D1). Right: the user has edited the grounded utterance via the text boxes (D1 ⇒ D2) and submitted i",1457,include,v1.1
1457,pat-087,Dual Artifact Presentation Modes,U09,central,high,verified,imported,system sec 4,"• Both systems share a common code generation, execution, and output display pipeline (Section 4.1). • System I implements grounded abstraction matching (Section 4.2). • System II implements an ungrounded yet viable alternative solution to the abstraction matching problem based on previously established guidelines for effectively writing queries for large language models (Section 4.3).",1457,include,v1.1
1457,pat-088,AI Panels for Host Application,U09,central,high,verified,imported,system sec 4,"We built two systems, implemented as Microsoft Excel spreadsheet add-ins.",1457,include,v1.1
1457,pat-092,Natural-Language Control,U01,central,high,verified,imported,fig 3,"System I interface. Left: the user has entered a query (B1), which has been converted to code (G1) and executed by System I.",1457,include,v1.1
1524,pat-048,Simulated Counterparts,U10,present,medium,verified,imported,intro,"To address the shortage of human-human collaboration, AIdriven analysis to aid UX evaluators is considered an efective tool, particularly for common usability issues, that could boost the efciency of UX evaluators and the reliability of results [43].",1524,include,v1.1
1524,pat-057,Companion Chat Panel,U09,central,high,verified,imported,system sec 3.1,This approach ensured that UX evaluators can focus on interacting with the AI assistant without distractions from other interface elements since the UI only contains a video player and chat window (Fig. 1 and Fig. 2).,1524,include,v1.1
1524,pat-062,Voice Interaction,U04,present,medium,verified,imported,fig 2,(c1) Microphone icon that UX evaluators can click to enable speech-to-text transcription,1524,include,v1.1
1524,pat-086,Fixed Functional Panel Layout,U09,present,medium,verified,imported,system sec 3.1.1,"The user interface for the text assistant contains two main interface components: (1) a video player for UX evaluators to review recordings (Fig. 1-A), and (2) a chat window that displays the conversation between UX evaluators and the text assistant (Fig. 1-C).",1524,include,v1.1
1524,pat-087,Dual Artifact Presentation Modes,U09,central,high,verified,imported,abstract,"Those who used the text assistant asked more questions, but the question lengths were similar. The text assistant was perceived as signifcantly more efcient, but both were rated equally in satisfaction and trust.",1524,include,v1.1
1596,pat-002,Candidate Gallery,U05,present,medium,verified,imported,fig 3,PopBlends system screenshot of No-GPT results with Star Wars and shampoo plus selected related words “hair” and “wash”,popblends,include,v1.1
1596,pat-041,Pick and Combine,U05,central,medium,verified,imported,intro,Conceptual blending is a type of combinatorial creativity [7] that connects two diferent input domains into a novel outcome through a connecting concept.,popblends,include,v1.1
1627,pat-002,Candidate Gallery,U05,present,high,verified,imported,fig 2,"Several title outputs are generated for different random seeds, each ending with tag <end>.",1627,include,v1.1
1627,pat-010,Prefilled Editable Templates,U06,central,high,verified,imported,fig 3,"showing the selection of a prompt prefix set and of a log line, instructions, generation and editing of title, characters, plot synopsis, location descriptions and dialogue (before and after editing and re-generation)",1627,include,v1.1
1627,pat-017,Staged Pipeline,U08,central,high,verified,imported,fig 1,Dramatron starts from a log line to generate a title and characters.,1627,include,v1.1
1642,pat-016,Structured Dialogue Flow,U08,central,high,verified,imported,fig 2,"Starting from an existing long-form answer, it constructs a chain of explanatory units (i.e., an initial dialogue tree).",dapie,include,v1.1
1642,pat-023,Goal Decomposition,U08,central,medium,verified,imported,title,DAPIE: Interactive Step-by-Step Explanatory Dialogues to Answer Children's Why and How Questions,dapie,include,v1.1
1642,pat-062,Voice Interaction,U04,present,medium,verified,imported,abstract,Conversational agents (CAs) like smart speakers or voice assistants can be promising respondents to children’s questions as they are more readily available than parents or teachers.,dapie,include,v1.1
1661,pat-025,Interpretation Readback,U07,central,high,verified,imported,fig 2,The human capability modeling process. The whole process goes through four steps. Step 1: Collect user predictions. Step 2: Generate initialized decision models. Step 3: Interactively modify decision models. Step 4: Apply decision models to estimate correctness likelihood.,1661,include-b,v1.1
1661,pat-027,Specification by Demonstration,U01,central,high,verified,imported,abstract,We first modeled humans’ CL by approximating their decision-making models and computing their potential performance in similar instances.,1661,include-b,v1.1
1661,pat-054,Paired (Human-AI) Assessment,U07,central,high,verified,imported,abstract,we proposed to promote humans’ appropriate trust based on the CL of both sides at a task-instance level,1661,include-b,v1.1
1661,pat-055,Aggregated Summary Score,U07,present,medium,verified,imported,fig 1,"In prior work, AI’s calibrated confidence is usually used to represent the AI’s correctness likelihood (CL), a value ranging from 0.5 to 1.0.",1661,include-b,v1.1
1661,pat-059,Inferred User State Driven Adaptation,U01,central,high,verified,imported,fig 4,Interface of different conditions. (A) Human Only. (B) AI Confidence. (C) Direct Display. (D) Adaptive Workflow. (E) Adaptive Recommendation.,1661,include-b,v1.1
1661,pat-086,Fixed Functional Panel Layout,U09,present,medium,verified,imported,fig 4,The interfaces of all conditions share a similar layout: the left side is a person’s profile area and the right side is a decision-making area.,1661,include-b,v1.1
1697,pat-032,Source Conditioned Generation,U01,central,high,verified,imported,system sec 3,"The Entoptic Field Camera is a web application which, through GAN techniques, generates a synthetic output image in response to a user’s input image",1697,include-b,v1.1
1697,pat-050,Generative Filters,U04,central,medium,verified,imported,fig 3,"In contrast to Figure 2, learned patterns are not used to improve an input image, but rather constitute the output image themselves.",1697,include-b,v1.1
1699,pat-009,Proactive Support,U02,central,high,verified,imported,abstract,"Moreover, we investigated two prominent design factors in the CA, proactive guidance and social information.",1699,include-b,v1.1
1699,pat-015,Question-Driven Elicitation,U01,central,high,verified,imported,system sec 3,"including eliciting the user’s emotion, making music recommendations",1699,include-b,v1.1
1699,pat-016,Structured Dialogue Flow,U08,present,medium,verified,imported,system sec 3.1,we referred to the general procedure of receptive music therapy,1699,include-b,v1.1
1699,pat-042,Persona Assigned to Agents,U10,present,medium,verified,imported,fig 1,CA can be suited well to act as a virtual companion that can deliver guidance to support people’s self-awareness while listening to music,1699,include-b,v1.1
1699,pat-057,Companion Chat Panel,U09,central,medium,verified,imported,fig 2,"The user interface of our conversational agent includes (a) a dialog window, (b) a music player, (c) music recommendation, and (d) music comments.",1699,include-b,v1.1
1723,pat-001,Linked Views,U07,present,medium,verified,imported,fig 3,(2) The pattern flter shows all the items that matched that pattern.,patat,include,v1.1
1723,pat-019,Propose-Critique-Revise Iterative Refinement,U06,present,medium,verified,imported,system sec 4,supports the iterative discovery and revision of themes,patat,include,v1.1
1723,pat-020,Inspectable Intermediate Steps,U07,central,high,verified,imported,system sec 4,(3) A pattern rule panel that displays synthesized rules and supports rule inspection and manipulation (Fig. 3-C).,patat,include,v1.1
1723,pat-051,Elements for Process Disclosure,U07,present,high,verified,imported,system sec 4,reviewing explanations of model recommendations and synthesized rules,patat,include,v1.1
1723,pat-053,Artifact Flagging and Annotations,U07,present,high,verified,imported,fig 3,"(3) When a user hovers over a highlighted item, all matching patterns are displayed.",patat,include,v1.1
1723,pat-086,Fixed Functional Panel Layout,U09,present,high,verified,imported,system sec 4,The interface consists of three main UI components: (1) A toolbar that allows for a variety of confgurations (Fig. 3-A); (2) A coding panel where users can perform qualitative coding in collaboration with AI (Fig. 3-B),patat,include,v1.1
1894,pat-002,Candidate Gallery,U05,central,high,verified,imported,fig 1,The plot widget allows users to modify and select useful data facts.,notable,include,v1.1
1894,pat-010,Prefilled Editable Templates,U06,present,medium,verified,imported,system sec 3.3,"Therefore, it is crucial to enable users’ customization, and the customized story should have higher priority than the automatically organized story.",notable,include,v1.1
1894,pat-012,Live Side Panel,U02,central,medium,verified,imported,fig 1,"This figure illustrates the interface of Notable, an on-the-fly assistant for data storytelling in computational notebooks.",notable,include,v1.1
1894,pat-017,Staged Pipeline,U08,present,medium,verified,imported,fig 2,"Notable contains five major modules: fact illustration, fact organization, slide generation, plot widget, and organization panel.",notable,include,v1.1
1894,pat-052,Color Coded Content,U07,present,medium,verified,imported,fig 3,This figure presents how Notable illustrates data facts with different visual embellishments.,notable,include,v1.1
1894,pat-088,AI Panels for Host Application,U09,central,high,verified,imported,system sec 3.3,"Second, the tools are better to be integrated with existing tools, i.e., existing computational notebook environments and commonly used presentation tools.",notable,include,v1.1
1907,pat-002,Candidate Gallery,U05,central,high,verified,imported,abstract,these technologies may fundamentally change how users interact with AAC devices as users transition from typing their own phrases to prompting and selecting AI-generated phrases,1907,include-b,v1.1
1907,pat-034,Artifact Generation Property Controls,U01,central,high,verified,imported,fig 1,"a ‘variability’ slider to adjust the temperature of the model, and thus the diversity of the responses generated",1907,include-b,v1.1
1907,pat-035,Atomic AI Action Menu,U01,present,medium,verified,imported,fig 1,"Prototype of speech macros used in the study. Each screen includes the name of the current macro, the conversation partner’s question context, space for the user’s input",1907,include-b,v1.1
1960,pat-009,Proactive Support,U02,central,high,verified,imported,abstract,proactively suggest relevant visuals in openvocabulary conversations,1960,include,v1.1
