layer,band,dimension_id,dimension_name,lens,id,status,name_before,name_after,description_verbatim_catalogue_clause,slug_before,slug_after,mapped_papers,distinctive_breadth
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-061,renamed,physical objects and physical space as the input or output channel,Tangible Interaction,physical objects and physical space as the input or output channel,physical-objects-and-physical-space-as-the-input-or-output-channel,tangible-interaction,118,7
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-062,renamed,spoken channel as the interaction surface in place of typed input,Voice Interaction,spoken channel as the interaction surface in place of typed input,spoken-channel-as-the-interaction-surface-in-place-of-typed-input,voice-interaction,118,7
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-063,renamed,the same content delivered in more than one modality,Multimodal Output,the same content delivered in more than one modality,the-same-content-delivered-in-more-than-one-modality,multimodal-output,82,7
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-074,renamed,the material rewritten as human-readable text,Non-Readable to Natural Language Conversion,the material rewritten as human-readable text,the-material-rewritten-as-human-readable-text,non-readable-to-natural-language-conversion,124,6
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-076,renamed,abstract output given a viewable rendered representation,Perceptible Rendering,abstract output given a viewable rendered representation,abstract-output-given-a-viewable-rendered-representation,perceptible-rendering,60,5
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-049,renamed,output spatially registered to the physical scene,Space Registered Overlay,output spatially registered to the physical scene,output-spatially-registered-to-the-physical-scene,space-registered-overlay,76,4
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-078,renamed,a composite glyph whose parts each encode a named component of one property,Composite Glyph,a composite glyph whose parts each encode a named component of one property A purpose-built graphical mark rather than a standard chart type.,a-composite-glyph-whose-parts-each-encode-a-named-component-of-one-property,composite-glyph,23,4
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-060,renamed,multiple input modalities and gestures accepted together,Multimodal Input,multiple input modalities and gestures accepted together,multiple-input-modalities-and-gestures-accepted-together,multimodal-input,150,3
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-064,renamed,nonvisual sequential navigation through structure,Nonvisual Navigation,nonvisual sequential navigation through structure,nonvisual-sequential-navigation-through-structure,nonvisual-navigation,9,3
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-050,renamed,a generative pipeline interposed between the scene and the user's view,Generative Filters,a generative pipeline interposed between the scene and the user's view What the user perceives is the pipeline's output rather than the scene itself.,a-generative-pipeline-interposed-between-the-scene-and-the-users-view,generative-filters,11,0
pattern,Taking in the output,U04,"Modality, Embodiment & Rendering",UI,pat-065,renamed,screenless task delegation with no visual interface,Nonvisual Task Delegation,screenless task delegation with no visual interface,screenless-task-delegation-with-no-visual-interface,nonvisual-task-delegation,4,0
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UX,pat-054,renamed,the model's judgment placed alongside the person's own,Paired (Human-AI) Assessment,the model's judgment placed alongside the person's own,the-models-judgment-placed-alongside-the-persons-own,paired-human-ai-assessment,30,6
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UX,pat-031,renamed,pre-send inspection of what is about to leave,Pre-Send Inspection,pre-send inspection of what is about to leave,pre-send-inspection-of-what-is-about-to-leave,pre-send-inspection,16,4
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-020,renamed,inspectable intermediate representation between input and output,Inspectable Intermediate Steps,inspectable intermediate representation between input and output,inspectable-intermediate-representation-between-input-and-output,inspectable-intermediate-steps,105,7
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-053,renamed,flagged spans highlighted in place with detail revealed on demand,Artifact Flagging and Annotations,flagged spans highlighted in place with detail revealed on demand,flagged-spans-highlighted-in-place-with-detail-revealed-on-demand,artifact-flagging-and-annotations,43,6
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-052,renamed,a per-unit attribute encoded by colour or typography in the content itself,Color Coded Content,a per-unit attribute encoded by colour or typography in the content itself,a-per-unit-attribute-encoded-by-colour-or-typography-in-the-content-itself,color-coded-content,86,5
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-055,renamed,a single aggregate score as the summary readout,Aggregated Summary Score,a single aggregate score as the summary readout That single number is the interface's headline element.,a-single-aggregate-score-as-the-summary-readout,aggregated-summary-score,17,5
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-025,renamed,the model's interpretation of the input externalized on screen,Interpretation Readback,the model's interpretation of the input externalized on screen,the-models-interpretation-of-the-input-externalized-on-screen,interpretation-readback,60,5
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-036,renamed,drill-down from aggregate overview to individual instance,Overview-plus-Detail,drill-down from aggregate overview to individual instance,drill-down-from-aggregate-overview-to-individual-instance,overview-plus-detail,123,5
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-037,renamed,corpus laid out as a spatial map as the browse surface,Unit Visualization Views,"corpus laid out as a spatial map as the browse surface Items are projected into a two-dimensional layout, and that layout is the browse surface rather than a list.",corpus-laid-out-as-a-spatial-map-as-the-browse-surface,unit-visualization-views,59,5
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-001,renamed,linked views where selecting one element highlights its counterpart,Linked Views,linked views where selecting one element highlights its counterpart,linked-views-where-selecting-one-element-highlights-its-counterpart,linked-views,126,5
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-028,renamed,the agent's plan rendered on screen before execution,Plan Preview,the agent's plan rendered on screen before execution,the-agents-plan-rendered-on-screen-before-execution,plan-preview,25,4
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-038,renamed,model internals rendered as an inspectable view,Model Internals View,model internals rendered as an inspectable view,model-internals-rendered-as-an-inspectable-view,model-internals-view,39,4
pattern,Taking in the output,U07,"Explanation, Inspection & Verification",UI,pat-051,renamed,disclosure of how the output was produced,Elements for Process Disclosure,disclosure of how the output was produced,disclosure-of-how-the-output-was-produced,elements-for-process-disclosure,165,3
pattern,Acting on the output,U05,Alternatives & Comparative Exploration,UX,pat-005,renamed,branching or freely-ordered structure instead of a linear sequence,Branching Exploration,branching or freely-ordered structure instead of a linear sequence,branching-or-freely-ordered-structure-instead-of-a-linear-sequence,branching-exploration,58,5
pattern,Acting on the output,U05,Alternatives & Comparative Exploration,UX,pat-007,renamed,perturb-then-compare probing of the model,Perturb-and-Compare,perturb-then-compare probing of the model,perturb-then-compare-probing-of-the-model,perturb-and-compare,22,3
pattern,Acting on the output,U05,Alternatives & Comparative Exploration,UI,pat-004,renamed,two artifacts placed side by side for comparison,Side-by-Side Comparison,two artifacts placed side by side for comparison,two-artifacts-placed-side-by-side-for-comparison,side-by-side-comparison,87,5
pattern,Acting on the output,U05,Alternatives & Comparative Exploration,UI,pat-006,renamed,one prompt fanned out to several models in parallel,Multi-Model Output Comparison,one prompt fanned out to several models in parallel,one-prompt-fanned-out-to-several-models-in-parallel,multi-model-output-comparison,28,4
pattern,Acting on the output,U05,Alternatives & Comparative Exploration,UI,pat-002,renamed,generated candidates offered for the user to pick among,Candidate Gallery,generated candidates offered for the user to pick among,generated-candidates-offered-for-the-user-to-pick-among,candidate-gallery,234,2
pattern,Acting on the output,U05,Alternatives & Comparative Exploration,UI,pat-041,renamed,two inputs blended or interpolated into one result,Pick and Combine,two inputs blended or interpolated into one result,two-inputs-blended-or-interpolated-into-one-result,pick-and-combine,40,2
pattern,Acting on the output,U06,Artifact Editing & Revision,UX,pat-097,renamed,"the run can be suspended, redirected or exited mid-flight",Mid-Run Intervention,"the run can be suspended, redirected or exited mid-flight",the-run-can-be-suspended-redirected-or-exited-mid-flight,mid-run-intervention,36,5
pattern,Acting on the output,U06,Artifact Editing & Revision,UX,pat-019,renamed,propose-critique-revise iteration loop over the same artifact,Propose-Critique-Revise Iterative Refinement,propose-critique-revise iteration loop over the same artifact,propose-critique-revise-iteration-loop-over-the-same-artifact,propose-critique-revise-iterative-refinement,157,5
pattern,Acting on the output,U06,Artifact Editing & Revision,UX,pat-095,renamed,manual authoring path retained beside the generated one,Manual Fallback Editing,manual authoring path retained beside the generated one,manual-authoring-path-retained-beside-the-generated-one,manual-fallback-editing,121,4
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-096,renamed,fixed disposition set offered on every suggestion,Accept/Reject Controls,fixed disposition set offered on every suggestion,fixed-disposition-set-offered-on-every-suggestion,accept-reject-controls,49,6
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-018,renamed,"segmented into discrete units, each individually addressable",Addressable Segments,"segmented into discrete units, each individually addressable",segmented-into-discrete-units-each-individually-addressable,addressable-segments,167,5
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-024,renamed,the model emits a program or parameterized template rather than the finished artifact,Program-as-Output,the model emits a program or parameterized template rather than the finished artifact The output is a generator of the artifact - code or a parameterised template - not the artifact itself.,the-model-emits-a-program-or-parameterized-template-rather-than-the-finished-artifact,program-as-output,66,5
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-010,renamed,system-filled content left editable in place,Prefilled Editable Templates,system-filled content left editable in place,system-filled-content-left-editable-in-place,prefilled-editable-templates,122,4
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-030,renamed,two representations kept synchronized and editable from either side,Two-Way Sync View,two representations kept synchronized and editable from either side,two-representations-kept-synchronized-and-editable-from-either-side,two-way-sync-view,20,4
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-021,renamed,the operation scoped to the region or location the user marks,Localized Tweaking Support,the operation scoped to the region or location the user marks,the-operation-scoped-to-the-region-or-location-the-user-marks,localized-tweaking-support,102,2
pattern,Acting on the output,U06,Artifact Editing & Revision,UI,pat-029,renamed,an existing artifact reverse-engineered into an editable representation,Reverse Engineered Representation,an existing artifact reverse-engineered into an editable representation,an-existing-artifact-reverse-engineered-into-an-editable-representation,reverse-engineered-representation,23,2
pattern,Fitting into the work,U08,"Workflow, History & Session Structure",UX,pat-016,renamed,explicit control structure over dialogue turns,Structured Dialogue Flow,explicit control structure over dialogue turns,explicit-control-structure-over-dialogue-turns,structured-dialogue-flow,98,8
pattern,Fitting into the work,U08,"Workflow, History & Session Structure",UX,pat-017,renamed,fixed staged pipeline the user is walked through,Staged Pipeline,fixed staged pipeline the user is walked through,fixed-staged-pipeline-the-user-is-walked-through,staged-pipeline,347,4
pattern,Fitting into the work,U08,"Workflow, History & Session Structure",UX,pat-080,renamed,"revisitable history, versioning and replay",Revisitable History,"revisitable history, versioning and replay",revisitable-history-versioning-and-replay,revisitable-history,96,4
pattern,Fitting into the work,U08,"Workflow, History & Session Structure",UX,pat-023,renamed,the task decomposed into parts handled one at a time,Goal Decomposition,the task decomposed into parts handled one at a time,the-task-decomposed-into-parts-handled-one-at-a-time,goal-decomposition,85,4
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-089,renamed,scrollable chat-log surface with a text-entry area,Chat Panels,scrollable chat-log surface with a text-entry area,scrollable-chat-log-surface-with-a-text-entry-area,chat-panels,133,9
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-091,renamed,the agent's presence and actions shown inside the shared artifact,In-Situ Agent Presence,the agent's presence and actions shown inside the shared artifact,the-agents-presence-and-actions-shown-inside-the-shared-artifact,in-situ-agent-presence,21,6
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-057,renamed,open dialogue running alongside the artifact being viewed,Companion Chat Panel,open dialogue running alongside the artifact being viewed,open-dialogue-running-alongside-the-artifact-being-viewed,companion-chat-panel,122,6
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-087,renamed,two alternative presentation modes for the same content,Dual Artifact Presentation Modes,two alternative presentation modes for the same content,two-alternative-presentation-modes-for-the-same-content,dual-artifact-presentation-modes,203,4
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-026,renamed,successive workflow stages sharing state in a single environment,Unified Workspace,successive workflow stages sharing state in a single environment,successive-workflow-stages-sharing-state-in-a-single-environment,unified-workspace,56,4
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-088,renamed,"assistance grafted into an existing tool, page or workflow",AI Panels for Host Application,"assistance grafted into an existing tool, page or workflow",assistance-grafted-into-an-existing-tool-page-or-workflow,ai-panels-for-host-application,169,3
pattern,Fitting into the work,U09,Workspace Layout & Tool Integration,UI,pat-086,renamed,workspace partitioned into fixed functional panels,Fixed Functional Panel Layout,workspace partitioned into fixed functional panels,workspace-partitioned-into-fixed-functional-panels,fixed-functional-panel-layout,413,3
pattern,Fitting into the work,U10,Agent Identity & Multi-Party Roles,UX,pat-042,renamed,persona or stance assigned to the agent,Persona Assigned to Agents,persona or stance assigned to the agent,persona-or-stance-assigned-to-the-agent,persona-assigned-to-agents,256,8
pattern,Fitting into the work,U10,Agent Identity & Multi-Party Roles,UX,pat-048,renamed,the model fills all but one role of a multi-party procedure,Simulated Counterparts,the model fills all but one role of a multi-party procedure,the-model-fills-all-but-one-role-of-a-multi-party-procedure,simulated-counterparts,88,8
pattern,Fitting into the work,U10,Agent Identity & Multi-Party Roles,UX,pat-044,renamed,a generated scenario the user enters as a participant,Role-Play Scenario,a generated scenario the user enters as a participant,a-generated-scenario-the-user-enters-as-a-participant,role-play-scenario,85,8
pattern,Fitting into the work,U10,Agent Identity & Multi-Party Roles,UX,pat-045,renamed,several co-present participants around one system,Multiparty Hub and Spoke,"several co-present participants around one system Two humans, a dyad, a group, or one person plus a simulated population.",several-co-present-participants-around-one-system,multiparty-hub-and-spoke,164,6
pattern,Fitting into the work,U10,Agent Identity & Multi-Party Roles,UX,pat-094,renamed,the artifact under construction embodied as the interlocutor,Artifact as Interlocutor,the artifact under construction embodied as the interlocutor,the-artifact-under-construction-embodied-as-the-interlocutor,artifact-as-interlocutor,7,0
pattern,Fitting into the work,U10,Agent Identity & Multi-Party Roles,UI,pat-047,renamed,role-asymmetric surfaces over one system,Role Asymmetric Views,role-asymmetric surfaces over one system,role-asymmetric-surfaces-over-one-system,role-asymmetric-views,88,10
pattern,,U05,Alternatives & Comparative Exploration,UI,pat-008,WITHDRAWN,feedforward preview of a control's outcome before acting,,"2 papers touching 3 of 21 factors - the thinnest row in the catalogue, below the naming-attestation threshold and below any reasonable evidence bar.",,,2,
pattern,,U03,"Constraints, Guardrails & Reserved Control",UI,pat-073,WITHDRAWN,deliberately narrowed output bandwidth to a nonvisual channel,,"withdrawn on review: 2 papers, no attested term, and the mechanism is covered by pat-065 and pat-061 for the papers concerned.",,,2,
pattern,,U10,Agent Identity & Multi-Party Roles,UX,pat-084,WITHDRAWN,the system's participants presented as one kind of entity while composed of another,,"withdrawn on review: 3 papers, no attested term; all three carry 3-5 other patterns.",,,3,
dimension,Setting the specs,U01,,,U01,kept,"Input, Context & Specification","Input, Context & Specification","How users, artifacts, examples, parameters, or user-state signals specify intent and shape the system's next behavior.",,,,
dimension,Setting the specs,U02,,,U02,kept,Initiative & Intervention Timing,Initiative & Intervention Timing,"When assistance appears and who triggers it: system-initiated, continuous, deferred, session-bound, or explicitly summoned.",,,,
dimension,Setting the specs,U03,,,U03,renamed,"Constraints, Safety & Agency","Constraints, Guardrails & Reserved Control","Visible rules or boundaries that restrict generation, protect artifact regions, preserve privacy, or reserve part of the task for the user.",,,,
dimension,Taking in the output,U04,,,U04,renamed,"Modality, Embodiment & Output Rendering","Modality, Embodiment & Rendering","How interaction crosses sensory, physical, spatial, embodied, or representational channels.",,,,
dimension,Acting on the output,U05,,,U05,kept,Alternatives & Comparative Exploration,Alternatives & Comparative Exploration,"How multiple possibilities are presented, previewed, maintained, blended, or compared before commitment.",,,,
dimension,Acting on the output,U06,,,U06,kept,Artifact Editing & Revision,Artifact Editing & Revision,"How users inspect, modify, scope, revise, accept, program, or interrupt generated work at the artifact level.",,,,
dimension,Taking in the output,U07,,,U07,kept,"Explanation, Inspection & Verification","Explanation, Inspection & Verification","How evidence, internals, correspondence, quality, interpretations, and planned actions are represented for human judgment.",,,,
dimension,Fitting into the work,U08,,,U08,kept,"Workflow, History & Session Structure","Workflow, History & Session Structure","How visible stages, dialogue states, histories, task decompositions, and session boundaries organize progress over time.",,,,
dimension,Fitting into the work,U09,,,U09,kept,Workspace Layout & Tool Integration,Workspace Layout & Tool Integration,"How AI assistance is spatially composed with artifacts, panels, host tools, chat surfaces, presentation modes, and shared workspaces.",,,,
dimension,Fitting into the work,U10,,,U10,kept,Agent Identity & Multi-Party Roles,Agent Identity & Multi-Party Roles,"How human and artificial participants are personified, assigned visible roles, coordinated, simulated, or represented to one another.",,,,
factor,Intent & Creation,G1,,,F1,recased,Gulf of envisioning,Gulf of Envisioning,The person holds a goal that is clear to them but cannot state it precisely or completely enough for the system to act on it. This is the gulf of envisioning: specification is incremental and partly u,,,387,
factor,Intent & Creation,G1,,,F2,recased,Creativity support and ideation,Creativity Support and Ideation,The person cannot tell what range of outputs is achievable and cannot move a produced artifact closer to intent without losing coherence or control. Both halves are the same creativity-support work of,,,459,
factor,Intent & Creation,G1,,,F9,renamed,Actionable feedback,Guidance and Feedback,"The person has produced something they judge imperfect but cannot tell what specifically to change. They need actionable feedback addressed to the artifact, at a grain fine enough to act on.",,,218,
factor,Comprehension & Judgment,G2,,,F6,recased,Sensemaking,Sensemaking,"The person faces more content than they can read, remember, or traverse, and cannot locate, condense, or connect it into something they can act on. The difficulty is sensemaking over volume itself, in",,,567,
factor,Comprehension & Judgment,G2,,,F3,renamed,Judging and deciding,Judgment and Decision Making,"The person must decide whether to act on what the system returned — whether it is correct, whether it bears on what they asked for, and by what standard it should be judged at all. The difficulty is t",,,438,
factor,Comprehension & Judgment,G2,,,F4,recased,Oversight,Oversight,"The person cannot see what the system did, is doing, or is about to do, and so cannot form a working model of it, anticipate it, or supervise it. The difficulty is the legibility of the process and of",,,309,
factor,Comprehension & Judgment,G2,,,F8,recased,Metacognition,Metacognition,"The person cannot see flaws, biases, or blind spots in their own reasoning or work without an external mirror, and does not notice when they should stop and check. The gap is metacognitive — in self-m",,,332,
factor,"Trust, Reliance & Risk",G3,,,F5,renamed,Overreliance,Appropriate Reliance,"The person cannot gauge how much of their judgment to hand over, and hands over more than they intended, so their own scrutiny and effort erode. Overreliance is a standing disposition toward the syste",,,264,
factor,"Trust, Reliance & Risk",G3,,,F18,recased,Bias and fairness,Bias and Fairness,"The person cannot tell whether an output or representation skews against groups of people, nor steer it toward what they judge fair. The difficulty is the inability to audit and adjust for bias, not t",,,76,
factor,"Trust, Reliance & Risk",G3,,,F22,renamed,N4 · Risk of harm and accountability,Risk of Harm and Accountability,"Acting on generated output can hurt someone, and the person may not see the harm coming or may carry the burden of answering for it afterwards. The factor covers exposure to harm, harm noticed too lat",,,129,
factor,"Effort, Skill & Agency",G4,,,F19,renamed,"N1 · Effort, cognitive load and attention",Effort and Cognitive Load,"What the task costs the person to carry out: time and repeated manual effort, the mental load of holding it together, the friction of an interface that has to be figured out, and the attention it dema",,,960,
factor,"Effort, Skill & Agency",G4,,,F20,renamed,"N2 · Skill, expertise and self-efficacy",Skill and Self-Efficacy,"The task demands expertise the person does not have, or the encounter is meant to build it. The factor covers the barrier itself, the learning and skill acquisition that closes it, and the person's ow",,,711,
factor,"Effort, Skill & Agency",G4,,,F7,recased,Control and agency,Control and Agency,"The person is working alongside something that does part of the work, and what is at stake is how much of the direction stays theirs. It covers holding the wheel over an automated process, the share o",,,664,
factor,Social & Relational,G5,,,F12,recased,Perspective-taking,Perspective-Taking,"The person cannot predict how another specific person will perceive, react to, or need something, so misjudges what to make for them. The difficulty is a limit on perspective-taking toward a particula",,,402,
factor,Social & Relational,G5,,,F16,renamed,Participation,Coordination and Equitable Participation,"In a live shared activity participation goes lopsided, disagreement stays unresolved, and no one manages turns or surfaces quiet contributions. The difficulty is the missing structure of the exchange,",,,100,
factor,Social & Relational,G5,,,F11,renamed,Mindset,Social Perception (Mindset),"People read a non-human counterpart in social terms — as warm or cold, competent or not, natural or stilted, a tool or an actor — and that reading governs whether they will have it around at all. The ",,,134,
factor,Social & Relational,G5,,,F17,recased,Privacy and ownership,Privacy and Ownership,"The person cannot tell or control what of theirs is visible to others — privacy of personal data and likeness on one side, ownership of their own contribution to a joint artifact on the other. Both ar",,,280,
factor,Experiences,G6,,,F13,renamed,Personalization,Personalization,"Content or interaction pitched at no one in particular fails to connect with this person's situation, identity, or goals, and they disengage over time. The difficulty is the absence of personalization",,,412,
factor,Experiences,G6,,,F21,renamed,N3 · Emotional state and wellbeing,"Affect, Wellbeing and Connection","The person's felt state in and around the activity: whether it lands as enjoyable or flat, the affective cost of engaging with heavy material, the stress they carry and how they cope with it, and thei",,,337,
factor,Experiences,G6,,,F14,recased,Accessibility,Accessibility,"Content arrives in, or must be produced in, a form this person cannot perceive or operate, and the work of reaching it falls to them. The factor covers access to the channel, translation between forms",,,175,
factor,Experiences,G6,,,F15,recased,Spatial and embodied cognition,Spatial and Embodied Cognition,"The work depends on the person's body being where the work is, and on their ability to read a layout and picture arrangements and movements that are not in front of them. The difficulty is what is los",,,141,
