paper_id,paper_name,pattern_ids,pattern_names,human_factor_ids,human_factor_names
1373,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,pat-090 | pat-080 | pat-052,On-Demand Suggestion | Revisitable History | Color Coded Content,F2 | F3 | F4 | F7,Creativity Support and Ideation | Judgment and Decision Making | Oversight | Control and Agency
1396,Telling Stories from Computational Notebooks: AI-Assisted Presentation Slides Creation for Presenting Data Science Work,pat-033 | pat-001 | pat-086,Output Templates | Linked Views | Fixed Functional Panel Layout,F6 | F19 | F7 | F12,Sensemaking | Effort and Cognitive Load | Control and Agency | Perspective-Taking
1423,GANSpiration: Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network,pat-032 | pat-041,Source Conditioned Generation | Pick and Combine,F2 | F7,Creativity Support and Ideation | Control and Agency
1452,Inform the Uninformed: Improving Online Informed Consent Reading with an AI-Powered Chatbot,pat-087,Dual Artifact Presentation Modes,F6 | F3 | F5 | F22 | F7,Sensemaking | Judgment and Decision Making | Appropriate Reliance | Risk of Harm and Accountability | Control and Agency
1457,What It Wants Me To Say: Bridging the Abstraction Gap Between End-User Programmers and Code-Generating Large Language Models,pat-092 | pat-020 | pat-025 | pat-087 | pat-088,Natural-Language Control | Inspectable Intermediate Steps | Interpretation Readback | Dual Artifact Presentation Modes | AI Panels for Host Application,F1 | F3 | F4 | F20,Gulf of Envisioning | Judgment and Decision Making | Oversight | Skill and Self-Efficacy
1524,Collaboration with Conversational AI Assistants for UX Evaluation: Questions and How to Ask them (Voice vs. Text),pat-048 | pat-057 | pat-086 | pat-087 | pat-062,Simulated Counterparts | Companion Chat Panel | Fixed Functional Panel Layout | Dual Artifact Presentation Modes | Voice Interaction,F9 | F6 | F19 | F7,Guidance and Feedback | Sensemaking | Effort and Cognitive Load | Control and Agency
1596,PopBlends: Strategies for Conceptual Blending with Large Language Models,pat-002 | pat-041,Candidate Gallery | Pick and Combine,F2 | F20 | F12,Creativity Support and Ideation | Skill and Self-Efficacy | Perspective-Taking
1627,Co-Writing Screenplays and Theatre Scripts with Language Models: Evaluation by Industry Professionals,pat-002 | pat-010 | pat-017,Candidate Gallery | Prefilled Editable Templates | Staged Pipeline,F1 | F2 | F18 | F7 | F17,Gulf of Envisioning | Creativity Support and Ideation | Bias and Fairness | Control and Agency | Privacy and Ownership
1642,DAPIE: Interactive Step-by-Step Explanatory Dialogues to Answer Children's Why and How Questions,pat-016 | pat-023 | pat-062,Structured Dialogue Flow | Goal Decomposition | Voice Interaction,F9 | F6 | F19 | F20 | F13,Guidance and Feedback | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Personalization
1661,Who Should I Trust: AI or Myself? Leveraging Human and AI Correctness Likelihood to Promote Appropriate Trust in AI-Assisted Decision-Making,pat-027 | pat-059 | pat-025 | pat-054 | pat-055 | pat-086,Specification by Demonstration | Inferred User State Driven Adaptation | Interpretation Readback | Paired (Human-AI) Assessment | Aggregated Summary Score | Fixed Functional Panel Layout,F5 | F19 | F20,Appropriate Reliance | Effort and Cognitive Load | Skill and Self-Efficacy
1697,The Entoptic Field Camera as Metaphor-Driven Research-through-Design with AI Technologies,pat-032 | pat-050,Source Conditioned Generation | Generative Filters,F4 | F8 | F15,Oversight | Metacognition | Spatial and Embodied Cognition
1699,"Listen to Music, Listen to Yourself: Design of a Conversational Agent to Support Self-Awareness While Listening to Music",pat-009 | pat-015 | pat-016 | pat-042 | pat-057,Proactive Support | Question-Driven Elicitation | Structured Dialogue Flow | Persona Assigned to Agents | Companion Chat Panel,F8 | F7 | F11 | F17 | F21,"Metacognition | Control and Agency | Social Perception (Mindset) | Privacy and Ownership | Affect, Wellbeing and Connection"
1723,PaTAT: Human-AI Collaborative Qualitative Coding with Explainable Interactive Rule Synthesis,pat-019 | pat-001 | pat-020 | pat-051 | pat-053 | pat-086,Propose-Critique-Revise Iterative Refinement | Linked Views | Inspectable Intermediate Steps | Elements for Process Disclosure | Artifact Flagging and Annotations | Fixed Functional Panel Layout,F6 | F4 | F19 | F7 | F12,Sensemaking | Oversight | Effort and Cognitive Load | Control and Agency | Perspective-Taking
1894,Notable: On-the-fly Assistant for Data Storytelling in Computational Notebooks,pat-012 | pat-002 | pat-010 | pat-017 | pat-052 | pat-088,Live Side Panel | Candidate Gallery | Prefilled Editable Templates | Staged Pipeline | Color Coded Content | AI Panels for Host Application,F6 | F19 | F7,Sensemaking | Effort and Cognitive Load | Control and Agency
1907,"The less I type, the better: How AI Language Models can Enhance or Impede Communication for AAC Users",pat-034 | pat-035 | pat-002,Artifact Generation Property Controls | Atomic AI Action Menu | Candidate Gallery,F19 | F12 | F17 | F14,Effort and Cognitive Load | Perspective-Taking | Privacy and Ownership | Accessibility
1960,Visual Captions: Augmenting Verbal Communication with On-the-fly Visuals,pat-009 | pat-011 | pat-034 | pat-088,Proactive Support | Live Activity Output Synchronization | Artifact Generation Property Controls | AI Panels for Host Application,F6 | F12 | F17,Sensemaking | Perspective-Taking | Privacy and Ownership
1966,IntroBot: Exploring the Use of Chatbot-assisted Familiarization in Online Collaborative Groups,pat-032 | pat-042 | pat-045,Source Conditioned Generation | Persona Assigned to Agents | Multiparty Hub and Spoke,F19 | F21,"Effort and Cognitive Load | Affect, Wellbeing and Connection"
1990,ConceptEVA: Concept-Based Interactive Exploration and Customization of Document Summaries,pat-022 | pat-032 | pat-010 | pat-019 | pat-001 | pat-037 | pat-086,Artifact Derived Controls | Source Conditioned Generation | Prefilled Editable Templates | Propose-Critique-Revise Iterative Refinement | Linked Views | Unit Visualization Views | Fixed Functional Panel Layout,F9 | F6 | F3 | F7,Guidance and Feedback | Sensemaking | Judgment and Decision Making | Control and Agency
2002,Choice Over Control: How Users Write with Large Language Models using Diegetic and Non-Diegetic Prompting,pat-090 | pat-002 | pat-095 | pat-096 | pat-052,On-Demand Suggestion | Candidate Gallery | Manual Fallback Editing | Accept/Reject Controls | Color Coded Content,F1 | F2 | F7,Gulf of Envisioning | Creativity Support and Ideation | Control and Agency
2013,ReadingQuizMaker: A Human-NLP Collaborative System that Supports Instructors to Design High-Quality Reading Quiz Questions,pat-035 | pat-033 | pat-002 | pat-021 | pat-095 | pat-086,Atomic AI Action Menu | Output Templates | Candidate Gallery | Localized Tweaking Support | Manual Fallback Editing | Fixed Functional Panel Layout,F19 | F20 | F7 | F13,Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Personalization
2030,CoArgue : Fostering Lurkers' Contribution to Collective Arguments in Community-based QA Platforms,pat-033 | pat-016 | pat-057,Output Templates | Structured Dialogue Flow | Companion Chat Panel,F8 | F19 | F13,Metacognition | Effort and Cognitive Load | Personalization
2071,Probing a Community-Based Conversational Storytelling Agent to Document Digital Stories of Housing Insecurity,pat-048 | pat-089 | pat-060,Simulated Counterparts | Chat Panels | Multimodal Input,F19 | F12 | F17 | F13 | F21,"Effort and Cognitive Load | Perspective-Taking | Privacy and Ownership | Personalization | Affect, Wellbeing and Connection"
2074,StyleMe: Towards Intelligent Fashion Generation with Designer Style,pat-032 | pat-040 | pat-010 | pat-086,Source Conditioned Generation | Sketch-Based Input | Prefilled Editable Templates | Fixed Functional Panel Layout,F2 | F19 | F17,Creativity Support and Ideation | Effort and Cognitive Load | Privacy and Ownership
2166,Magical Brush: A Symbol-Based Modern Chinese Painting System for Novices,pat-034 | pat-002 | pat-021 | pat-095 | pat-086,Artifact Generation Property Controls | Candidate Gallery | Localized Tweaking Support | Manual Fallback Editing | Fixed Functional Panel Layout,F2 | F19 | F20 | F7 | F13,Creativity Support and Ideation | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency | Personalization
2168,Enabling Conversational Interaction with Mobile UI using Large Language Models,pat-015 | pat-092 | pat-074,Question-Driven Elicitation | Natural-Language Control | Non-Readable to Natural Language Conversion,F19,Effort and Cognitive Load
2170,Supporting Novices Author Audio Descriptions via Automatic Feedback,pat-012 | pat-018 | pat-052 | pat-086,Live Side Panel | Addressable Segments | Color Coded Content | Fixed Functional Panel Layout,F9 | F6 | F19 | F20 | F14,Guidance and Feedback | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Accessibility
2181,AngleKindling: Supporting Journalistic Angle Ideation with Large Language Models,pat-032 | pat-033 | pat-086,Source Conditioned Generation | Output Templates | Fixed Functional Panel Layout,F2 | F8 | F19 | F13,Creativity Support and Ideation | Metacognition | Effort and Cognitive Load | Personalization
2221,GANravel: User-Driven Direction Disentanglement in Generative Adversarial Networks,pat-027 | pat-034 | pat-019,Specification by Demonstration | Artifact Generation Property Controls | Propose-Critique-Revise Iterative Refinement,F2 | F4 | F19 | F7,Creativity Support and Ideation | Oversight | Effort and Cognitive Load | Control and Agency
2257,"Don't Just Tell Me, Ask Me: AI Systems that Intelligently Frame Explanations as Questions Improve Human Logical Discernment Accuracy over Causal AI explanations",pat-015 | pat-033 | pat-068 | pat-051 | pat-087,Question-Driven Elicitation | Output Templates | Withheld Answer | Elements for Process Disclosure | Dual Artifact Presentation Modes,F3 | F4 | F8 | F5 | F18 | F19 | F20,Judgment and Decision Making | Oversight | Metacognition | Appropriate Reliance | Bias and Fairness | Effort and Cognitive Load | Skill and Self-Efficacy
2258,CatAlyst: Domain-Extensible Intervention for Preventing Task Procrastination Using Large Generative Models,pat-009 | pat-032 | pat-010 | pat-088,Proactive Support | Source Conditioned Generation | Prefilled Editable Templates | AI Panels for Host Application,F19 | F20 | F13 | F21,"Effort and Cognitive Load | Skill and Self-Efficacy | Personalization | Affect, Wellbeing and Connection"
2285,I Won't Go Speechless: Design Exploration on a Real-Time Text-To-Speech Speaking Tool for Videoconferencing,,,F19 | F17 | F21,"Effort and Cognitive Load | Privacy and Ownership | Affect, Wellbeing and Connection"
2288,Charagraph: Interactive Generation of Charts for Realtime Annotation of Data-Rich Paragraphs,pat-021 | pat-029 | pat-030 | pat-088,Localized Tweaking Support | Reverse Engineered Representation | Two-Way Sync View | AI Panels for Host Application,F6 | F3 | F19 | F20,Sensemaking | Judgment and Decision Making | Effort and Cognitive Load | Skill and Self-Efficacy
2304,Slide4N: Creating Presentation Slides from Computational Notebooks with Human-AI Collaboration,pat-032 | pat-033 | pat-010 | pat-001,Source Conditioned Generation | Output Templates | Prefilled Editable Templates | Linked Views,F6 | F19 | F12,Sensemaking | Effort and Cognitive Load | Perspective-Taking
2325,ChainForge: A Visual Toolkit for Prompt Engineering and LLM Hypothesis Testing,pat-039 | pat-006 | pat-007 | pat-023 | pat-080,Spatial Canvas | Multi-Model Output Comparison | Perturb-and-Compare | Goal Decomposition | Revisitable History,F2 | F3 | F4 | F18 | F20,Creativity Support and Ideation | Judgment and Decision Making | Oversight | Bias and Fairness | Skill and Self-Efficacy
2338,Beyond Numbers: Creating Analogies to Enhance Data Comprehension and Communication with Generative AI,pat-033 | pat-002 | pat-017,Output Templates | Candidate Gallery | Staged Pipeline,F2 | F6 | F12 | F13,Creativity Support and Ideation | Sensemaking | Perspective-Taking | Personalization
2368,Learning Agent-based Modeling with LLM Companions: Experiences of Novices and Experts Using ChatGPT & NetLogo Chat,pat-015 | pat-002 | pat-010 | pat-088 | pat-089,Question-Driven Elicitation | Candidate Gallery | Prefilled Editable Templates | AI Panels for Host Application | Chat Panels,F1 | F9 | F5 | F20 | F7,Gulf of Envisioning | Guidance and Feedback | Appropriate Reliance | Skill and Self-Efficacy | Control and Agency
2376,Human-Algorithmic Interaction Using a Large Language Model-Augmented Artificial Intelligence Clinical Decision Support System,pat-034 | pat-051 | pat-057 | pat-086 | pat-087 | pat-089,Artifact Generation Property Controls | Elements for Process Disclosure | Companion Chat Panel | Fixed Functional Panel Layout | Dual Artifact Presentation Modes | Chat Panels,F3 | F5 | F19 | F7 | F11,Judgment and Decision Making | Appropriate Reliance | Effort and Cognitive Load | Control and Agency | Social Perception (Mindset)
2383,AQuA: Automated Question-Answering in Software Tutorial Videos with Visual Anchors,pat-021 | pat-060,Localized Tweaking Support | Multimodal Input,F9 | F6 | F3 | F20,Guidance and Feedback | Sensemaking | Judgment and Decision Making | Skill and Self-Efficacy
2384,Teach AI How to Code: Using Large Language Models as Teachable Agents for Programming Education,pat-011 | pat-016 | pat-042 | pat-048 | pat-086,Live Activity Output Synchronization | Structured Dialogue Flow | Persona Assigned to Agents | Simulated Counterparts | Fixed Functional Panel Layout,F8 | F19 | F20 | F11 | F13,Metacognition | Effort and Cognitive Load | Skill and Self-Efficacy | Social Perception (Mindset) | Personalization
2385,Open Sesame? Open Salami! Personalizing Vocabulary Assessment-Intervention for Children via Pervasive Profiling and Bespoke Storybook Generation,pat-032 | pat-017,Source Conditioned Generation | Staged Pipeline,F3 | F19 | F20 | F7,Judgment and Decision Making | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
2408,CreativeConnect: Supporting Reference Recombination for Graphic Design Ideation with Generative AI,pat-022 | pat-032 | pat-072 | pat-002 | pat-041 | pat-095 | pat-086,Artifact Derived Controls | Source Conditioned Generation | Low Detail Outlines with User-Filled Specificity | Candidate Gallery | Pick and Combine | Manual Fallback Editing | Fixed Functional Panel Layout,F2 | F6 | F19 | F20,Creativity Support and Ideation | Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy
2415,Supporting Sensemaking of Large Language Model Outputs at Scale,pat-004 | pat-052 | pat-087,Side-by-Side Comparison | Color Coded Content | Dual Artifact Presentation Modes,F6 | F4 | F19,Sensemaking | Oversight | Effort and Cognitive Load
2418,ARTiST: Automated Text Simplification for Task Guidance in Augmented Reality,pat-023 | pat-049,Goal Decomposition | Space Registered Overlay,F6 | F22 | F19,Sensemaking | Risk of Harm and Accountability | Effort and Cognitive Load
2423,ReelFramer: Human-AI Co-Creation for News-to-Video Translation,pat-032 | pat-033 | pat-096 | pat-017,Source Conditioned Generation | Output Templates | Accept/Reject Controls | Staged Pipeline,F2 | F12 | F14,Creativity Support and Ideation | Perspective-Taking | Accessibility
2429,How AI Processing Delays Foster Creativity: Exploring Research Question Co-Creation with an LLM-based Agent,pat-005 | pat-019 | pat-086,Branching Exploration | Propose-Critique-Revise Iterative Refinement | Fixed Functional Panel Layout,F2 | F6 | F5 | F7,Creativity Support and Ideation | Sensemaking | Appropriate Reliance | Control and Agency
2436,Selenite: Scaffolding Online Sensemaking with Comprehensive Overviews Elicited from Large Language Models,pat-009 | pat-012 | pat-022 | pat-088,Proactive Support | Live Side Panel | Artifact Derived Controls | AI Panels for Host Application,F6 | F3 | F19,Sensemaking | Judgment and Decision Making | Effort and Cognitive Load
2439,DiaryMate: Understanding User Perceptions and Experience in Human-AI Collaboration for Personal Journaling,pat-090 | pat-032 | pat-002 | pat-096,On-Demand Suggestion | Source Conditioned Generation | Candidate Gallery | Accept/Reject Controls,F8 | F5 | F7 | F17,Metacognition | Appropriate Reliance | Control and Agency | Privacy and Ownership
2440,Memoro: Using Large Language Models to Realize a Concise Interface for Real-Time Memory Augmentation,pat-087 | pat-065,Dual Artifact Presentation Modes | Nonvisual Task Delegation,F6 | F19 | F20 | F7,Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy | Control and Agency
2446,Debate Chatbots to Facilitate Critical Thinking on YouTube: Social Identity and Conversational Style Make A Difference,pat-059 | pat-042 | pat-057 | pat-043,Inferred User State Driven Adaptation | Persona Assigned to Agents | Companion Chat Panel | Embodied Avatar,F3 | F8 | F11 | F13,Judgment and Decision Making | Metacognition | Social Perception (Mindset) | Personalization
2452,"When He Feels Cold, He Goes to the Seahorse - Blending Generative AI into Multimaterial Storymaking for Family Expressive Arts Therapy",pat-032 | pat-002 | pat-019 | pat-095 | pat-017 | pat-045 | pat-061,Source Conditioned Generation | Candidate Gallery | Propose-Critique-Revise Iterative Refinement | Manual Fallback Editing | Staged Pipeline | Multiparty Hub and Spoke | Tangible Interaction,F8 | F12 | F17 | F21,"Metacognition | Perspective-Taking | Privacy and Ownership | Affect, Wellbeing and Connection"
2457,Concept Induction: Analyzing Unstructured Text with High-Level Concepts Using LLooM,pat-032 | pat-020,Source Conditioned Generation | Inspectable Intermediate Steps,F6 | F19,Sensemaking | Effort and Cognitive Load
2459,Neural Canvas: Supporting Scenic Design Prototyping by Integrating 3D Sketching and Generative AI,pat-040 | pat-026 | pat-060,Sketch-Based Input | Unified Workspace | Multimodal Input,F2 | F19 | F20 | F12 | F13,Creativity Support and Ideation | Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking | Personalization
2468,Inkeraction: An Interaction Modality Powered by Ink Recognition and Synthesis,pat-090 | pat-033 | pat-018 | pat-029,On-Demand Suggestion | Output Templates | Addressable Segments | Reverse Engineered Representation,F2 | F19 | F7,Creativity Support and Ideation | Effort and Cognitive Load | Control and Agency
2469,Writer-Defined AI Personas for On-Demand Feedback Generation,pat-067 | pat-002 | pat-021 | pat-080 | pat-042 | pat-048 | pat-086,User-Authored Rules | Candidate Gallery | Localized Tweaking Support | Revisitable History | Persona Assigned to Agents | Simulated Counterparts | Fixed Functional Panel Layout,F9 | F3 | F8 | F18 | F12,Guidance and Feedback | Judgment and Decision Making | Metacognition | Bias and Fairness | Perspective-Taking
2477,Human-LLM Collaborative Annotation Through Effective Verification of LLM Labels,pat-051 | pat-054,Elements for Process Disclosure | Paired (Human-AI) Assessment,F3 | F4 | F5 | F18 | F19 | F7,Judgment and Decision Making | Oversight | Appropriate Reliance | Bias and Fairness | Effort and Cognitive Load | Control and Agency
2485,Collaborative School Mental Health System: Leveraging a Conversational Agent for Enhancing Children's Executive Function,pat-042 | pat-047 | pat-062,Persona Assigned to Agents | Role Asymmetric Views | Voice Interaction,F1 | F19,Gulf of Envisioning | Effort and Cognitive Load
2486,"Metamorpheus: Interactive, Affective, and Creative Dream Narration Through Metaphorical Visual Storytelling",pat-032 | pat-018 | pat-019 | pat-080 | pat-086,Source Conditioned Generation | Addressable Segments | Propose-Critique-Revise Iterative Refinement | Revisitable History | Fixed Functional Panel Layout,F6 | F8 | F20 | F17,Sensemaking | Metacognition | Skill and Self-Efficacy | Privacy and Ownership
2489,"CollabCoder: A Lower-barrier, Rigorous Workflow for Inductive Collaborative Qualitative Analysis with Large Language Models",pat-090 | pat-018 | pat-017 | pat-045,On-Demand Suggestion | Addressable Segments | Staged Pipeline | Multiparty Hub and Spoke,F19 | F20 | F12 | F16,Effort and Cognitive Load | Skill and Self-Efficacy | Perspective-Taking | Coordination and Equitable Participation
2491,DiaryHelper: Exploring the Use of an Automatic Contextual Information Recording Agent for Elicitation Diary Study,pat-033 | pat-025 | pat-088 | pat-060,Output Templates | Interpretation Readback | AI Panels for Host Application | Multimodal Input,F6 | F19 | F7,Sensemaking | Effort and Cognitive Load | Control and Agency
2504,ABScribe: Rapid Exploration & Organization of Multiple Writing Variations in Human-AI Co-Writing Tasks using Large Language Models,pat-067 | pat-002 | pat-004 | pat-087,User-Authored Rules | Candidate Gallery | Side-by-Side Comparison | Dual Artifact Presentation Modes,F2 | F19,Creativity Support and Ideation | Effort and Cognitive Load
2508,PANDALens: Towards AI-Assisted In-Context Writing on OHMD During Travels,pat-009 | pat-013 | pat-015 | pat-060 | pat-062 | pat-074,Proactive Support | Deferred Intervention | Question-Driven Elicitation | Multimodal Input | Voice Interaction | Non-Readable to Natural Language Conversion,F1 | F8 | F19 | F11 | F17 | F21,"Gulf of Envisioning | Metacognition | Effort and Cognitive Load | Social Perception (Mindset) | Privacy and Ownership | Affect, Wellbeing and Connection"
2515,Narrating Fitness: Leveraging Large Language Models for Reflective Fitness Tracker Data Interpretation,pat-032 | pat-087 | pat-074,Source Conditioned Generation | Dual Artifact Presentation Modes | Non-Readable to Natural Language Conversion,F6 | F8 | F13,Sensemaking | Metacognition | Personalization
2527,AI-Augmented Brainwriting: Investigating the use of LLMs in group ideation,pat-033 | pat-002 | pat-095 | pat-017 | pat-045 | pat-086 | pat-088,Output Templates | Candidate Gallery | Manual Fallback Editing | Staged Pipeline | Multiparty Hub and Spoke | Fixed Functional Panel Layout | AI Panels for Host Application,F2 | F3 | F19 | F16,Creativity Support and Ideation | Judgment and Decision Making | Effort and Cognitive Load | Coordination and Equitable Participation
2533,TutoAI: a cross-domain framework for AI-assisted mixed-media tutorial creation on physical tasks,pat-033 | pat-010 | pat-018 | pat-063,Output Templates | Prefilled Editable Templates | Addressable Segments | Multimodal Output,F6 | F19 | F20,Sensemaking | Effort and Cognitive Load | Skill and Self-Efficacy
