category_code,category_name,category_origin,runner_up_code,human_factor,n_papers,n_central,n_venue_families,definition,framing
F3,Verification,given,F5,susceptibility to misinformation and manipulation,52,34,8,"People can be moved to false beliefs or unwanted decisions by content that is wrong, fallacious, or engineered to persuade, and they vary in how far they resist it. Papers claim their designs engage this vulnerability and the counterpart capacity to withstand it. The factor is the person's exposure and resistance to persuasive falsehood, whatever the source of that content.","BOTH — the corpus names susceptibility, echo chambers, and damaged public trust as harms, and resistance to misinformation and critical examination of content as capacities to be strengthened."
F3,Verification,given,F6,linking information back to its referent,41,24,10,"A statement can be perfectly clear on its own terms and still be unusable because the person cannot tell which part of the object it is about. The factor is the interpretive gap the person must close between a piece of information and the thing that information concerns, when the two are presented apart from each other. Papers frame this as a gulf of evaluation to be narrowed rather than as a property of the information itself.",DEFICIT/HARM
F3,Verification,given,F5,evaluative stance toward generated output,16,7,6,"The posture a person takes toward what the system produced — whether they treat it as a candidate to be judged right or wrong, as raw material to build on, or as a constraint or resource to work within. The claimed difficulty is that the output's surface properties push the person into a stance that does not serve the task. It transplants to any setting where a person must decide what kind of thing an automatically produced artifact is to them.",BOTH
F3,Verification,given,F4,handling uncertainty in an answer,16,9,6,"The person receives an answer whose underlying confidence is not visible in the answer's surface form, and must decide how much weight to place on it. The factor is the human's handling of stated or unstated uncertainty — whether a spread of possibilities rather than a single value reaches them, and how their own numerical and probabilistic fluency conditions what they do with it. It is about the recipient's position under uncertainty, not about the mechanism that produces the uncertainty.",BOTH
F4,Transparency,given,F3,the person's understanding of how an output was produced,186,125,10,"The person's ability to see how a result was arrived at — what was considered, what was discarded, and why this outcome rather than another. Papers frame the absence as under-explanation and the presence as understanding, transparency, or the person being able to relate their own inputs to the outcome. It concerns the derivation of a result, not the subject matter the result is about.","BOTH. The corpus states it as a capacity to be enabled (""understanding and assessment of the recommended items"") and as a deficit (""under-explored and under-explained"")."
F4,Transparency,given,F1,mental model of AI capability,93,49,10,"What the person believes an automated counterpart is able and unable to do, and how that belief forms and shifts across repeated use. Papers frame the deficit as opacity — the person cannot tell what is achievable, so failures arrive unexpectedly — and the capacity as adaptation, where experience accumulates into workable expectations. It is a belief the person holds, not a documented property of the system.","BOTH. The corpus frames it as a deficit (capability ""is opaque to the user"", the ""Gulf of Envisioning"", unexpected failures) and as a capacity (users adapt and build up experience across interactions)."
F4,Transparency,given,F3,anticipating system behaviour,56,33,8,"Before or during joint work, the person must form expectations about what an autonomous counterpart will do next, or how it will behave across situations they have not yet encountered, in order to plan their own actions. Papers claim their designs engage this forward-looking prediction problem and the difficulty of getting evidence for it in advance. The concern is future behaviour, not explanation of behaviour already observed.","DEFICIT/HARM — the corpus states this as an inability: feedback on behaviour is unavailable before deployment, behaviour across the input range is hard to understand, and problems surface only when they are expensive."
F4,Transparency,given,F17,awareness of AI involvement and provenance,21,14,4,"Whether the person can tell that a machine was involved at all, what it did, and which parts of what they are looking at came from it. The claimed difficulty is that machine involvement is not perceptible in the artifact or the interaction, so the person cannot attribute origin without being told. It applies wherever an output's authorship or generation history bears on how a person should treat it.",BOTH
F5,Overreliance,given,F4,trust in the system,157,79,10,"The person's willingness to credit an automated counterpart and the attitudes that support or undermine it. Papers name trust as a stated aim or evaluation dimension, and name mistrust — driven by privacy worries, incorrect output, or bias — as the condition to be addressed. The factor is the person's attitude, not the counterpart's reliability.","BOTH. The corpus states trust as something to gain, improve, or measure, and also states mistrust as a persisting problem the design confronts."
F5,Overreliance,given,F3,overreliance and calibrated trust,95,69,9,"Whether a person's reliance on an automated counterpart matches how far it should be relied on in the case at hand. Papers frame the harm as accepting output without scrutiny, so the person's performance is capped by the system's, and frame the target capacity as appropriate or calibrated reliance. The subject is the person's disposition to accept, not the accuracy of what is being accepted.","BOTH. The harm framing dominates (overreliance, unwarranted confidence, confirmation bias); the same papers state the paired capacity as ""appropriate reliance"" or appropriately calibrated trust."
F5,Overreliance,given,N1,convenience preferred over depth,24,7,6,"People systematically take the lower-effort option even when a more effortful one would serve them better, and papers treat this preference as a fixed condition any design must survive rather than something to argue against. The claimed harm is that convenience drives shallow engagement, over-disclosure, or effort minimization. It transplants to any setting where the easy path and the good path diverge.",DEFICIT/HARM
F5,Overreliance,given,N4,accountability and ethics of delegating judgment,22,5,7,"When a judgment that carries consequences for someone is handed to a machine, it becomes unclear who answers for the result, and whether handing it over was permissible at all. Papers frame this as clarifying responsibility across asymmetric parties, or as the ethical concerns practitioners raise about delegating an assessment. It transplants to any consequential decision a person could either make or pass on.",BOTH
F6,Sensemaking,given,N2,comprehension of complex material,208,124,11,"The person's grasp of content that is dense, technical, or outside their expertise — what it says, what it implies, and what matters in it. Papers frame the difficulty as arising from the material and the reader's distance from it, and frame comprehension as the human dimension the design engages. The object understood is subject matter, not machinery.","BOTH. Comprehension is named as the capacity to support (""improve comprehension"", ""support code understanding"") and its absence as the stated problem (""most people do not have the domain expertise"", descriptions that ""do not adequately describe important insights"")."
F6,Sensemaking,given,N1,search and discovery effort,120,47,8,"The cost of finding the relevant material inside a large, fragmented, or linear body of sources before any work on it can begin. Papers frame this as manual scanning, sifting, or locating, and sometimes as the inverse capacity of encountering material one would not have thought to look for. It transplants to any corpus a person must get through to reach the few items that matter.",BOTH
F6,Sensemaking,given,F2,sensemaking,115,66,10,"The person imposes structure on open-ended material whose organising shape is not given in advance, moving in branching, parallel cycles between gathering and interpreting. Papers claim their designs engage this structuring work, including the difficulty of pulling scattered material into a coherent account. What is at stake is the construction of an organisation, not the absorption of one already present in the material.","CAPACITY — the corpus describes sensemaking, foraging, and narrative construction as the analytic and interpretive work people do, with its branching structure framed as resistant to automation rather than as a defect."
F6,Sensemaking,given,F7,memory and recall,108,63,8,"Retrieval of specific past content — what was said, decided, done, or lived through — at the moment the person needs it. Papers claim their designs engage the difficulty of getting particular prior material back into mind, and in some cases the emotional cost of doing so. The object is content that existed earlier and must be brought back, not structure the person must currently hold.","BOTH — the corpus states recall as a target to be raised (information recall, being reminded of overlooked material) and as a difficulty in its own right (rationale that cannot be recalled in real time, memories that are demanding to retrieve)."
F6,Sensemaking,given,F2,insight generation and knowledge discovery,67,25,9,"The person's arrival at new understanding or new connections that were not stated anywhere in the material they were given. The claimed difficulty is that the person receives conclusions rather than being able to explore and draw their own, or that forming and validating candidate understandings across scattered material is costly. It transplants to any body of material a person is expected to learn something new from.",CAPACITY
F6,Sensemaking,given,F9,identifying which parts matter,59,26,10,"Within material the person already has in front of them, telling which elements carry the significance and which are incidental. The claimed difficulty is that significance is not marked in the artifact, so consequential detail goes unnoticed, particularly for those without the experience to know where to look. It transplants to any artifact whose important parts are not visually or structurally distinguished from its unimportant ones.",DEFICIT/HARM
F6,Sensemaking,given,F7,losing the big picture,48,13,9,"As a body of work grows, the person loses hold of its overall shape and drifts into local detail, unable to see how the parts relate or where they are within the whole. Papers claim their designs engage this loss of overview and orientation. The material is present and available; what fails is the person's grasp of its structure.","DEFICIT/HARM — the corpus states this as difficulty and drift: hard to oversee a growing draft, hard to track how parts connect, tempting to revise locally, pushed toward implementation detail instead of the shape of the design."
F6,Sensemaking,given,F15,temporal cognition,21,12,4,"People make sense of what they are doing now by reaching backward into what has happened and forward into what might, and this looking across time is treated as work in its own right. The factor is the person's prospective and retrospective cognition — the construction of meaning and agency out of past and future — rather than the storage or retrieval of facts about either.",CAPACITY
F6,Sensemaking,given,F12,exploration versus communication of findings,11,8,5,Working something out and telling someone about it make incompatible demands on the same material: the trace that supports discovery is messy in exactly the ways an audience-facing account must not be. The factor is the person's position between these two modes and the cost of converting the artifact of one into the artifact of the other. Papers frame it as a tension or gap rather than as a sequence of steps.,DEFICIT/HARM
F7,Mixed-initiative interaction,given,F2,user control and agency,434,276,11,"The person's claimed capacity to direct what an automated process does and to remain the one deciding, rather than receiving a result they did not shape. Papers state it as control, steering, autonomy, empowerment, or ownership of the decision, and state its absence as limited control or as automation encroaching on the person's role. It is about who holds the wheel, independent of what the output is.","BOTH. The dominant framing is a CAPACITY to be served (control, ownership, efficacy, steering as something users want); the corpus also frames its loss as a harm — ""limited user control"", and ""the tension between automation and scholarly agency""."
F7,Mixed-initiative interaction,given,F5,collaborative roles and the work left to the person,99,42,11,"A piece of work that the person could have done alone is split between them and a system, and the split settles what the person is left holding — which parts of the task stay theirs, and whether what stays is the part worth doing or the residue. The factor is the person's difficulty and capacity under that allocation: getting a share of the work that is meaningful to them, taking up whatever the system hands back, and covering whatever the split leaves uncovered. It transplants to any setting where part of a person's work is taken over by something else — a delegate, an assistant, an earlier generation of automation — and it is coded from claims about the person's portion, never from a description of how the system's own roles were configured.",BOTH
F7,Mixed-initiative interaction,given,N1,interruption and workflow disruption,94,45,8,"An externally timed intrusion pulls a person out of ongoing work, or the work itself is fragmented across threads and contexts so that continuity is repeatedly broken. Papers claim their designs engage the cost of being taken out of flow and the risk that any offered help is intrusive. The trigger lies outside the person's own attentional effort, which is what makes this distinct from failing to stay focused.","DEFICIT/HARM — every central assertion in the packet states this as a cost: disruption, intrusion, fragmentation, being pulled out of the workflow, or being sidelined."
F7,Mixed-initiative interaction,given,N2,irreplaceable human expertise and judgment,85,49,9,"The claim that some part of a task rests on knowledge, context, or judgment that only the particular human holds, so automation can supplement but not stand in for them. Papers state it as tasks requiring human insight, as contextual knowledge an outsider or a machine lacks, and as augmentation rather than replacement. It is a claim about what the person uniquely contributes, not about a system's accuracy.","CAPACITY. The human contribution is the thing being asserted and protected — domain knowledge, educational insight, expert interpretation, capability enhancement rather than replacement."
F7,Mixed-initiative interaction,given,N2,shift in the human's role and practice,30,14,5,"When part of a person's work is taken over, what remains of their role is not simply less of the same but a different job, with different competences at its centre. The factor is this reallocation of what the person is there to do — the move from one mode of practice to another — as the dimension the paper says its design engages. It concerns the shape of the person's role, not their skill level within it.",CAPACITY
F7,Mixed-initiative interaction,given,F6,continuity across a long interaction,28,13,7,"An exchange that runs long enough, or resumes often enough, stops holding together: what was established earlier no longer bears on what happens now, and the person must re-establish ground they had already laid. The factor is the human's experience of coherence and completeness across an extended or multi-session engagement, and the burden of repair when that coherence lapses. It concerns the thread of the interaction, not the person's own memory.",BOTH
F7,Mixed-initiative interaction,given,F4,the experience of waiting,24,8,6,"Work that involves a slow-producing partner puts the person into stretches of dead time they must inhabit, not merely tolerate. The factor is the human experience of waiting — what the person does, feels, and attends to during a pause they did not choose and cannot shorten. It is the temporal experience on the person's side, not the duration figure itself.",BOTH
F7,Mixed-initiative interaction,given,N2,dependence on paced disclosure,5,3,2,"Some reasoning tasks depend on what the person has not yet been told: the order of disclosure, and the withholding of certain facts until earned, is a precondition for the inference the person is trying to make. The factor is the person's dependence on paced, structured release of information, and the collapse of their reasoning when material arrives out of order or too early. It concerns the sequencing of what reaches the person, not the truth of it.",BOTH
F8,Metacognition,given,F9,self-reflection and self-awareness,188,112,9,"The person's capacity to turn attention back on themselves — their own process, decisions, feelings, or conduct — and to notice something about it they had not articulated. Papers claim designs engage this by provoking moments of reflection, replaying what the person did, or prompting inquiry rather than supplying answers. The object of attention is the person, not the material or the system.","CAPACITY. Consistently framed as reflection to be supported, provoked, or made possible; the corpus does not frame it as a deficit."
F8,Metacognition,given,F5,critical thinking,99,60,9,"The person's capacity to question, examine, and weigh what is put in front of them rather than take it at face value. Papers claim designs invoke this by presenting alternative perspectives, by prompting reconsideration during reading, or by making a claim available for scrutiny. It is directed outward at content, claims, or the arrangement being examined.","CAPACITY. Framed as a skill to invoke, build, or provoke — critical thinking, critical re-examination, reflective engagement."
F8,Metacognition,given,F18,exposure to diverse perspectives,80,39,10,"Whether a person encounters viewpoints other than the ones already available to them, and whether those viewpoints are preserved rather than collapsed. Papers frame the deficit as narrowing — echo chambers, polarization, lack of access to varied others — and the capacity as perspective expansion or considering alternate readings. It transplants to any setting where the range of positions a person meets shapes what they conclude.",BOTH
F8,Metacognition,given,N2,metacognitive calibration and self-regulated learning,33,20,9,"The person's ability to judge accurately what they do and do not know, and to plan, monitor, and adjust their own effort on that basis. Papers claim their designs engage this second-order control over one's own learning, including the miscalibration — typically overconfidence — that undermines it. The object of judgment is the person's own state of knowing, not the material or the system.","BOTH — the corpus names metacognition, self-regulation, and calibration as skills to be strengthened, and overconfidence and inability to plan one's own study as the deficits designs target."
F9,Actionable feedback,given,F7,"need for direction while stuck, and uptake of direction offered",176,91,9,"The person needs direction on how to proceed at the moment they are stuck, and whether they take up direction that is offered is itself variable. Papers claim their designs engage the absence of timely in-task support and the person's receptivity to it. The concern is being shown a way forward while working, not acquiring durable competence.","BOTH — the corpus states absence of support as a deficit (lack of visual guidance, lack of timely help when confusion arises) and receptivity or uptake of guidance as a human disposition in its own right."
F9,Actionable feedback,given,F8,need for external critique,54,29,9,"The person cannot get sufficient purchase on their own work from the inside, and the outside judgment they need is scarce, slow, or unavailable at the moment of work. The factor is the standing demand for a critical second view on an artifact the person themselves produced, and the cost structure that keeps such a view from arriving when it would matter. Claimed by the authors as the human condition their design engages; not independently verified here.",BOTH
F10,Rehearsal,given,N3,arousal and performance,6,4,4,"A person's level of activation — felt as tension or stress — is treated as a dial that stands in a non-monotonic relation to how well they execute a task. The factor is that activation level together with its claimed consequences for performance, where too little and too much are each said to cost the person something. It concerns a modulated affective-physiological state, not the person's coping with adversity.",BOTH
F11,Social presence,given,F5,acceptance and social perception of the agent,134,65,10,"People read a non-human counterpart in social terms — as warm or cold, competent or not, natural or stilted, a tool or an actor — and those readings govern whether they will have it around at all. Papers claim their designs engage this social attribution and the acceptance that follows from it. The dimension is the person's perceptual and attitudinal stance toward the counterpart, not their willingness to act on its outputs.","BOTH — the corpus reports perceived anthropomorphism, warmth, and competence as dimensions to be raised, and robotic, unnatural, or discomforting impressions as the deficit designs address."
F11,Social presence,given,F16,social sharing and human connection,128,62,8,"Bonds between people are formed and maintained by sharing experience and being together in an activity, and their absence is felt as loneliness or isolation. Papers claim their designs engage this connection between people and the conditions that block or enable it. The relationship in question is human-to-human, even where a machine sits in the middle.","BOTH — the corpus names connection, comfort, companionship, and shared creative engagement as goods, and loneliness and barriers to shared participation as the deficits designs address."
F11,Social presence,given,F16,social presence and team rapport,56,27,8,"The sense of being with other people, and the warmth, mutual awareness, and shared identity that build up between them. Papers frame the deficit as fragile early interaction, missing nonverbal cues, or an interface that pulls attention away from the group. It transplants to any mediated setting where people must feel co-present with one another to work or relate.",BOTH
F11,Social presence,given,F17,authenticity of AI-mediated interaction,22,13,5,"When part of what passes between two people was produced by something other than either of them, the exchange's standing as a genuine one comes into question — for the sender, the receiver, and the relationship. The factor is this concern about whether a mediated interaction still counts as authentic, and the reluctance or damage that attends it. It is a property of the interpersonal exchange, not of the text that carries it.",DEFICIT/HARM
F12,Perspective-taking,given,F16,shared understanding among collaborators,217,107,11,"A person and a counterpart they are working with — another person or a system — hold different conceptions of the same thing, and the gap between those conceptions has to be closed for the work to proceed. The factor is the person's side of establishing that common ground: converging on a shared reference, adapting to the counterpart as it adapts to them, and fitting the counterpart's contributions into their own cognitive and creative process. The parties are mutually reachable and can negotiate meaning with each other, which is what distinguishes this from addressing a public; whether the counterpart is a person or a system does not bear on the coding, and difficulty of integrating a machine counterpart's contributions is evidence here on the same footing as miscommunication between two people.","BOTH — the corpus names representational gaps, miscommunication, and expressive suppression as harms, and grounded communication, partnership, co-creativity, bidirectional alignment, and shared mental states as capacities the work depends on; integration difficulty is framed as what stands in the way of that capacity."
F12,Perspective-taking,given,F11,audience communication and reach,94,38,9,"Whether what a person produces lands with people who are not present during its production — whether it reaches them at all, holds them, and is taken the way it was meant. Papers claim their designs engage the producer's problem of anticipating and affecting an absent receiving public. The receivers are a body the producer cannot interrogate, which is what separates this from any face-to-face understanding problem.","BOTH — the corpus frames reach and audience engagement as things to be raised, and audience misinterpretation and its societal consequences as a harm the producer must anticipate."
F12,Perspective-taking,given,F11,empathy and perspective-taking,85,57,8,"One person's grasp of another person's inner state — their goals, feelings, or reading of a situation — when that state is not directly observable and must be inferred. Papers claim their designs engage both the inference itself and the affective response that follows it. The other party is a human whose perspective is the object of understanding, not a co-worker whose actions need coordinating.","BOTH — the corpus names empathy and mutual understanding as capacities to be raised, and simultaneously names imagination gaps and misinterpretation of the other party as failures the design targets."
F12,Perspective-taking,given,F11,interpersonal appropriateness and tone,48,16,6,"Whether what a person says fits the relationship, the culture, and the moment, over and above being clear or well formed. The claimed demand is that fluency is not sufficient: an utterance must be calibrated to who is receiving it and what stands between them. It transplants to any communication addressed to a particular person in a particular relation.",CAPACITY
F13,Personalization,given,F11,engagement and immersion,291,115,9,"How far a person is drawn into and absorbed by an experience rather than receiving it passively — engagement, immersion, presence, or felt involvement in the moment. Papers claim designs engage this by making the person an active participant or by deepening the sense of being inside the experience. It concerns absorption during the activity, not whether the person chose to start it or liked it afterwards.","CAPACITY. Framed as something to foster, enhance, or evaluate — engagement, satisfaction and immersion, perceived presence, affective attachment."
F13,Personalization,given,N3,motivation,94,45,8,"Whether a person wants to undertake and keep at an activity, and what they are pursuing through it. Papers claim their designs engage the drive to start and persist, including the underlying needs — autonomy, competence, relatedness — from which papers say that drive comes, and the mismatch when an activity's stated purpose is not the person's own. The factor is the wanting, prior to any question of ability.","CAPACITY — the corpus states motivation as something to strengthen or raise: intrinsic motivation, intentions to practise, and the needs underpinning them."
F13,Personalization,given,F8,behaviour change and problematic use,56,37,6,"A person wants to conduct themselves differently from how they currently do, and cannot sustain the change against habit, ambivalence, and the states that drive the old conduct. Papers claim their designs engage both the entrenched pattern and the effort to move away from it. The object is the person's habitual conduct in life, not their use of the system in front of them.","BOTH — the corpus names problematic, excessive, or mindless conduct as a harm the person themselves recognises, and behaviour change, perseverance, and mindfulness as capacities the design engages."
F13,Personalization,given,N3,long-term engagement and adherence,46,19,5,"Whether a person keeps coming back over weeks or months, when the benefit of an activity depends on repetition and the default trajectory is dropping off. The claimed difficulty is decline over time rather than the person's first encounter. It transplants to any activity whose value is only realized through sustained repeated participation.",BOTH
F14,Accessibility,given,N5,access and equity,150,105,10,"The exclusion of some people from an activity that is available to others, and the claim that removing that exclusion is what a design exists to do. Papers state a gap in participation — content that cannot be perceived, communication that cannot be conducted — and frame the inequality between those who can and cannot take part as the problem. Following the handoff's rule, this is coded only where access for the excluded group is the entire point of the design, not wherever such a group appears as participants.","DEFICIT/HARM. Stated as inaccessibility, a communication gap, no choice, and aggravated inequality between disabled and non-disabled people."
F14,Accessibility,given,F12,translating between forms with conflicting norms,26,17,5,"The person must re-express material in a second form whose conventions contradict the first form's, while keeping whatever made the original worth having. The claimed difficulty is that satisfying the target form's demands actively violates the source form's norms or the person's own training. It transplants to any conversion between representations with incompatible standards of what counts as good.",DEFICIT/HARM
F15,Spatial grounding,given,F14,embodiment and situatedness,108,44,9,"The person acts with their body and inside the physical setting the work concerns, and papers claim this bodily, in-place engagement is part of how the work gets done. The claimed deficit is separation: doing the work at a remove from the material context strips out information and felt continuity the person was relying on. It transplants to any activity whose decisions depend on being bodily present where the result will live.",BOTH
F15,Spatial grounding,given,F6,spatial sensemaking and imagination,49,22,8,"A person has to understand how a place is laid out and to picture arrangements and movements within it that are not in front of them. The factor is this spatial understanding and mental simulation — reading a layout, holding its structure, and imagining what could occupy or traverse it. It concerns reasoning about space, in any setting where spatial structure carries meaning.",CAPACITY
F16,Participation,given,F7,collaborative behaviour and coordination,73,38,9,"When several people work on the same thing at the same time, they must divide labour, take turns, and adjust to each other's moves, and the quality of that meshing is itself at stake. The factor is the observable conduct of joint work between people — who does what, in what order, and how the group's strategy settles. It concerns behaviour among humans, whatever the task.",CAPACITY
F16,Participation,given,F17,minority voice and psychological safety in groups,24,18,5,"In a group where influence is unevenly distributed, holding a dissenting view and being able to say it are different things, and the second carries a social cost the first does not. The factor is whether a person in the weaker position feels safe enough to voice a divergent opinion, and the conformity and groupthink that follow when they do not. ""Minority"" here is a position in the group's power structure, not a demographic category.",BOTH
F16,Participation,given,F8,consensus and independence of judgment,21,10,5,"When several people judge the same material, papers treat both their convergence and their non-convergence as things at stake: agreement is wanted, but agreement reached by influence rather than independent assessment is a loss. The factor is this two-sided tension over how much judges should move toward each other. It transplants to any setting where multiple people rate, label, or decide on shared items.",BOTH
F17,Privacy and ownership,given,F11,self-expression and self-disclosure,124,62,9,"The person's act of putting inner states, interpretations, or personal experience into an externalised form for others or for themselves. Papers claim their designs engage the reach and depth of that act — whether the person manages to convey what they meant, and how they feel about having disclosed it. The factor is the expressive act and its subjective adequacy, not the quality of the resulting artifact.","CAPACITY — the corpus presents expression and disclosure as human activities to be enabled or deepened (emotional expression, satisfaction with one's disclosure, expressing an interpretation), with vulnerability noted alongside rather than as the dominant framing."
F17,Privacy and ownership,given,N4,privacy concern and over-disclosure,74,32,6,"The person's worry about what of themselves they are giving away, and the tendency to reveal more than the task requires. Papers frame the difficulty as decisions that are numerous, context-dependent, and made without perceptible control over the trade-off between usefulness and exposure. The factor is the person's concern and disclosure behaviour, not any confidentiality property of the technology.","BOTH. Predominantly a harm (over-disclosure, privacy concerns, being overwhelmed by the volume of decisions), with a paired capacity framing in claims about perceptible control, consent as a dynamic process, and data sovereignty."
