schema_version,pattern_id,pattern_slug,pattern_name,short_summary,ui_ux_type,ui_ux_rationale,category_id,category_slug,category_name,category_order,pattern_order,global_order,sub_pattern,definition,structural_signature,n_papers,n_central,n_venue_families,source_catalogue_row,legacy_category_code,legacy_category_name,pre_filter_category_code,pre_filter_category_name,status
1.0.0,pat-034,a-system-or-generation-property-exposed-as-a-level-the-user-sets,a system or generation property exposed as a level the user sets,"A property of the system or of its output is bound to an ordered control the user sets to a value — a slider, a numbered keypress, a discrete set of levels, a spatial distance.",UI,Maps a persistent system property to an ordered control.,U02,input-context-and-specification,"Input, Context & Specification",2,5,11,Predefined Parameters and Options,"A property of the system or of its output is bound to an ordered control the user sets to a value — a slider, a numbered keypress, a discrete set of levels, a spatial distance. Setting the value re-runs or re-renders under the new setting. The dimension exists before any particular content and persists across generations.","A named parameter with an ordered range (short/moderate/long; 1D distance; temperature; abstraction level) is surfaced as a persistent control widget bound to that range. The control does not create content; it scales an already-defined property of whatever content is produced, and the same control is available for every output. Multiple such parameters may be exposed together as a configuration panel.",129,54,11,34,P6,Parameterized Personalization,C02,Input & Specification,active
1.0.0,pat-035,a-fixed-set-of-predefined-prompts-attached-to-each-unit-of-content,a fixed set of predefined prompts attached to each unit of content,"Instead of an open input box, the system attaches the same small, named menu of prepared prompts to every content unit it holds.",UI,Places a predictable prompt-action menu on every content item.,U02,input-context-and-specification,"Input, Context & Specification",2,6,12,Predefined Parameters and Options,"Instead of an open input box, the system attaches the same small, named menu of prepared prompts to every content unit it holds. Invoking one runs its prompt against that unit. The user's expressive choice is reduced to picking which of the fixed actions to apply and to which unit.","The content is partitioned into units; a fixed vocabulary of n named actions is defined once, system-wide; each unit exposes all n as invocable affordances, and invocation binds (action, unit) into a generation call. The action set does not vary by unit and is not editable by the user, so the interaction space is exactly units × actions. Transplants to any repository of units — a codebase with a fixed per-function action menu, a document set with a fixed per-section menu.",34,18,8,35,P6,Parameterized Personalization,C02,Input & Specification,active
1.0.0,pat-039,spatial-arrangement-on-a-canvas-is-the-prompt,spatial arrangement on a canvas is the prompt,The user places elements on an open two-dimensional surface and the system reads their positions and relations as specification.,UI,"Uses canvas position, grouping, and connection as the specification surface.",U02,input-context-and-specification,"Input, Context & Specification",2,7,13,Spatial Sensemaking Canvas,"The user places elements on an open two-dimensional surface and the system reads their positions and relations as specification. Proximity, grouping, and connections between elements determine what is generated, so moving an element changes the request. The canvas replaces a linear prompt field as the place where intent is expressed.","Elements are freely positionable on an unbounded surface; the system's input is derived from the configuration — coordinates, distances, containment, or explicit links — and not only from the elements' contents. Rearranging without changing any element's content still changes the system's output.",42,25,9,39,P8,Spatial Canvas Workspace,C02,Input & Specification,active
1.0.0,pat-040,sketch-or-drawn-stroke-as-the-generation-input,sketch or drawn stroke as the generation input,"The user's freehand mark — a stroke, a scribble, an arrow, a drawn layout — is taken as input to generation, either alongside or in place of a written prompt.",UI,Uses drawn geometry as a direct input channel.,U02,input-context-and-specification,"Input, Context & Specification",2,8,14,Sketch-Based Input,"The user's freehand mark — a stroke, a scribble, an arrow, a drawn layout — is taken as input to generation, either alongside or in place of a written prompt. The mark's geometry and its position carry specification, not merely selection. Each drawing pass conditions the next generated result, so drawing is the steering channel.","A drawing surface captures freehand vector input; the captured strokes are passed to the generator as conditioning signal; the generated result is returned into or beside the same surface so it can be drawn on again. The stroke's shape and placement are consumed as content, so two different strokes in the same location yield different results.",77,65,9,40,P9,Direct-Manipulation Steering,C02,Input & Specification,active
1.0.0,pat-059,inferred-or-declared-user-state-selects-the-systems-next-behavior,inferred or declared user state selects the system's next behavior,"The system holds a variable describing the user — mental state, intent, goal, emotion, skill level — and its current value selects among enumerated alternative behaviors: different strategies, presentation forms, or difficulty settings.",UX,"Adapts strategy or presentation to intent, emotion, skill, or goal.",U02,input-context-and-specification,"Input, Context & Specification",2,9,15,Context-Aware Adaptation,"The system holds a variable describing the user — mental state, intent, goal, emotion, skill level — and its current value selects among enumerated alternative behaviors: different strategies, presentation forms, or difficulty settings. The same task content is routed through different branches depending on the value.","A discrete branch, lookup table, or mapping between a state variable and a fixed set of named alternative behaviors, evaluated before output is produced. The alternatives are enumerable and the mapping is authored at design time, so the behavior set is finite and the state variable is the only thing selecting among its members.",112,81,10,59,P15,Inference-Driven Personalization,C09,"Context, Personalization & Learning",active
1.0.0,pat-092,natural-language-instruction-replaces-direct-manipulation-of-the-artifact,natural-language instruction replaces direct manipulation of the artifact,"The user states in language what they want to be true of the artifact, and the system performs the corresponding edit or retrieval.",UX,Reframes interaction from procedural control to outcome-oriented conversation.,U02,input-context-and-specification,"Input, Context & Specification",2,10,16,,"The user states in language what they want to be true of the artifact, and the system performs the corresponding edit or retrieval. Language stands in for the direct-manipulation repertoire that would otherwise be used — selecting a function, adjusting a control, issuing a query. The substitution is the claim: the manipulation handles are not offered alongside.","The artifact has an established non-linguistic control vocabulary (transformation functions, palette editors, query forms, element handles). The interface exposes a text or utterance field as the operative control over that artifact, parses the utterance into the operation, and applies it; the user names an outcome rather than a procedure. The artifact itself remains a separate object from the language channel — the utterance is about it, not an entry in it.",107,75,11,92,P22,Substituted Control Vocabulary,C02,Input & Specification,active
1.0.0,pat-093,familiar-metaphor-imported-as-the-interaction-surface,familiar metaphor imported as the interaction surface,"The system borrows the vocabulary of an already-known artifact — a spreadsheet, a paint palette, a plant, a social feed — and uses it wholesale as the surface through which the user acts, rather than devising controls specific to the underlying operation.",UI,Builds the interface from the objects and actions of a known domain.,U02,input-context-and-specification,"Input, Context & Specification",2,11,17,,"The system borrows the vocabulary of an already-known artifact — a spreadsheet, a paint palette, a plant, a social feed — and uses it wholesale as the surface through which the user acts, rather than devising controls specific to the underlying operation. The borrowed source supplies both the visual encoding and the set of legal actions.","The interface presents the objects of a source domain external to the system and accepts that domain's operations as its input actions; each such action is translated into a system operation, so the two sets stand in one-to-one correspondence. What is on screen is the source domain's objects and their legal actions, whether or not the paper states the mapping.",67,39,8,93,P22,Substituted Control Vocabulary,C02,Input & Specification,active
1.0.0,pat-033,schema-or-template-constrains-what-the-model-may-emit,schema or template constrains what the model may emit,"A structure declared in advance — a schema, slot set, section skeleton, or typed taxonomy — determines the form the model's output must take.",UI,"Presents generated output through predefined fields, sections, or structural slots.",U03,constraints-safety-and-agency,"Constraints, Safety & Agency",3,1,18,Structured Format with Predefined Fields,"A structure declared in advance — a schema, slot set, section skeleton, or typed taxonomy — determines the form the model's output must take. Generation is validated against or rendered into that structure rather than emitted as free text. The structure exists at the type level: it applies to every output the system produces, not just this one.","A named structure with enumerated parts (fields, sections, component types, category labels) is defined independently of any single generation and is stored in the system. The generator's output is emitted into, checked against, or parsed by that structure, and downstream rendering is per-part: each part gets its own visual slot, colour, or handle. Outputs that do not conform are corrected or rejected before display.",291,148,11,33,P6,Parameterized Personalization,C04,"Constraints, Safety & Agency",active
1.0.0,pat-067,user-authored-criteria-or-constraint-set-governing-generation,user-authored criteria or constraint set governing generation,"The user builds up a standing set of rules, principles, or preferences that is stored outside any single generation and consulted on every subsequent run.",UX,Gives users persistent governance over future system behavior.,U03,constraints-safety-and-agency,"Constraints, Safety & Agency",3,2,19,,"The user builds up a standing set of rules, principles, or preferences that is stored outside any single generation and consulted on every subsequent run. Entries are authored by the user, usually in natural language, and the set is displayed as an inspectable, editable list. The set governs generation as a persistent policy rather than as a one-off instruction.","A named collection with add / edit / remove / reorder operations, persisted across generations and rendered as a list. Each entry originates from a user act (typed preference, feedback on an output converted into a rule, an imported written protocol) and is compiled into something the generator consults — a prompt fragment, an executable predicate, a decoding constraint, an ordering. Priority among entries may be expressed by position in the list rather than by numeric weight.",50,31,10,67,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",active
1.0.0,pat-068,the-system-withholds-the-answer-and-hands-the-step-back-to-the-user,the system withholds the answer and hands the step back to the user,The system runs the pipeline that would produce a terminal output but does not emit that output.,UX,Preserves an essential cognitive or creative step for the person.,U03,constraints-safety-and-agency,"Constraints, Safety & Agency",3,3,20,,"The system runs the pipeline that would produce a terminal output but does not emit that output. What it emits instead is one step short — candidates, marked passages, correctness without the answer, questions — and the person supplies the missing final step.","The last stage of the pipeline is truncated at the presentation boundary: what reaches the screen is an intermediate of the process whose end product is withheld, and the interface exposes no control that reveals it. The user's action supplies the terminal value, so the loop cannot close without a human act.",46,31,9,68,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",active
1.0.0,pat-071,regions-the-user-did-not-mark-protected-from-generation,regions the user did not mark protected from generation,"Part of the working artifact is designated off-limits and the generator is prevented from altering it, with the designation produced by the system rather than drawn by the user.",UX,Establishes a preservation contract around existing user-authored material.,U03,constraints-safety-and-agency,"Constraints, Safety & Agency",3,4,21,,"Part of the working artifact is designated off-limits and the generator is prevented from altering it, with the designation produced by the system rather than drawn by the user. The user contributes the artifact and, implicitly, its already-authored parts; the system works out what must be preserved and enforces that during generation. Generation is thereby restricted to the complement of the protected set.","The artifact is partitioned into a protected subset and a mutable subset; the partition is computed (by segmentation, or by provenance of who authored each element) rather than selected; generation is then executed under a constraint or penalty that forbids modifying, overwriting or occluding the protected subset. Two things are needed and both are observable: an automatic partition step, and an enforcement mechanism at generation time. Transplants to text (generate around the user's own sentences), code (do not touch hand-written blocks), layout, audio.",11,6,6,71,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",active
1.0.0,pat-072,output-rendered-at-a-fixed-low-fidelity-with-no-higher-fidelity-mode,output rendered at a fixed low fidelity with no higher-fidelity mode,"The system renders its output below the fidelity it could achieve, using a sparse representation and minimal accompanying text.",UI,Uses intentionally unfinished presentation to invite user contribution.,U03,constraints-safety-and-agency,"Constraints, Safety & Agency",3,5,22,,"The system renders its output below the fidelity it could achieve, using a sparse representation and minimal accompanying text. The reduction is deliberate and stated as a design goal, not a technical limit. What is withheld — detail, finish, specificity — is what the user is expected to supply.","A ceiling is imposed on the rendering stage: outputs are emitted in a low-detail representation (outline instead of full render, one line instead of a paragraph) uniformly across all outputs, with no affordance to raise the fidelity. The invariant is that the representation underdetermines the artifact — many finished artifacts are consistent with what is shown. Transplants to wireframes instead of mockups, outlines instead of prose, thumbnails instead of masters.",8,4,3,72,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",active
1.0.0,pat-073,deliberately-narrowed-output-bandwidth-to-a-nonvisual-channel,deliberately narrowed output bandwidth to a nonvisual channel,"The system's return channel is deliberately restricted to a low-capacity, nonvisual modality, so that whatever the process produced must be compressed into a signal of very few distinguishable states.",UI,"Encodes system state through a deliberately limited auditory, tactile, or other signal.",U03,constraints-safety-and-agency,"Constraints, Safety & Agency",3,6,23,,"The system's return channel is deliberately restricted to a low-capacity, nonvisual modality, so that whatever the process produced must be compressed into a signal of very few distinguishable states. The restriction is a design commitment, not a device limitation. What can be reported back is thereby reduced to something like presence, completion, or success versus failure.","The output side of the loop is capped: the set of distinguishable system responses is small and finite (in the limit, binary), and is delivered on a channel with no persistent surface — the signal is transient and cannot be re-read. Consequences follow structurally: no detail can accompany the signal, and any richer state must be discarded or re-requested through some other route. Transplants to a single LED, a one-line status beep, a wristband buzz — anywhere the return path is intentionally made narrow.",2,2,1,73,P17,Bounded Output Envelope,C04,"Constraints, Safety & Agency",active
1.0.0,pat-002,generated-candidates-offered-for-the-user-to-pick-among,generated candidates offered for the user to pick among,At a single decision point the system emits more than one alternative for the same request and presents them together as a set.,UI,Presents a visible choice set at a single decision point.,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,1,24,Multiple Suggestions Shown Together,At a single decision point the system emits more than one alternative for the same request and presents them together as a set. The user's control is exercised by choosing one member of the set rather than by editing or re-specifying. The chosen item is committed downstream and the unchosen ones are discarded or backgrounded.,"Control flow forks at one point into N ≥ 2 outputs of the same type, all rendered simultaneously in a bounded display region (a row, a side-by-side triple, a separate list beside the working surface). A selection event on one member is the commit action: it writes that member into the downstream state and terminates the other branches. The multiplicity is in the outputs, not in the operations offered over one output, and the set is resolved in a single act.",234,137,11,2,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-004,two-artifacts-placed-side-by-side-for-comparison,two artifacts placed side by side for comparison,Two or more instances of the same kind of artifact are displayed simultaneously in parallel regions so that their differences can be read off directly.,UI,Uses aligned parallel regions to make differences directly readable.,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,2,25,Side-by-Side Comparison,Two or more instances of the same kind of artifact are displayed simultaneously in parallel regions so that their differences can be read off directly. The layout is the mechanism: nothing is computed for the user beyond alignment and co-presence. Which instances occupy the slots may itself be user-selectable.,"Two or more renderings of comparable objects occupy spatially parallel regions at the same time, with corresponding parts aligned across regions. The comparison quantity is the visual difference between regions, and the display may add a diff encoding over the alignment. Slot assignment is a user action (""select any two…"") or a fixed before/after pairing.",87,28,10,4,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-005,branching-or-freely-ordered-structure-instead-of-a-linear-sequence,branching or freely-ordered structure instead of a linear sequence,"The interaction is organized as a tree or open graph in which alternatives coexist, rather than as a single ordered track the user advances along.",UX,"Supports forking, revisiting, and switching among persistent paths.",U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,3,26,Exploring Generated Alternatives,"The interaction is organized as a tree or open graph in which alternatives coexist, rather than as a single ordered track the user advances along. The user can fork off a side path, pick a different branch, or take steps in an order of their choosing, and the alternatives remain live rather than being replaced. The branching structure is often itself the interface object.","State is held as multiple simultaneously extant paths from a shared origin; a control exists for creating a new path and for switching which path is active; paths are displayed together (as a tree, a canvas of branches, or parallel panels) so their coexistence is visible. Advancing along one path does not destroy the others.",58,44,9,5,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-006,one-prompt-fanned-out-to-several-models-in-parallel,one prompt fanned out to several models in parallel,"A single user request is dispatched unchanged to several distinct models at once, and their outputs are returned together.",UI,Presents attributed outputs from multiple models in a shared comparison frame.,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,4,27,Multiple Suggestions Shown Together,"A single user request is dispatched unchanged to several distinct models at once, and their outputs are returned together. The variation the user sees comes from the difference between generators rather than from sampling one generator repeatedly. The outputs are attributable to their sources and set against each other.","Fan-out control flow: one input, n parallel invocations differing only in which backend is called, n outputs collected and presented in a common frame with source attribution. The key structural fact is that the *generator* is the varied dimension while the input is held constant — the inverse of perturbation probing. Transplants to any plural-backend setting: several solvers, several translation engines, several search indices.",28,14,6,6,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-007,perturb-then-compare-probing-of-the-model,perturb-then-compare probing of the model,"The interface takes an input the model has already been run on, applies a controlled alteration to it, re-runs the model, and presents the altered-input output against the original one.",UX,Structures exploration as a controlled counterfactual test followed by comparison.,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,5,28,Side-by-Side Comparison,"The interface takes an input the model has already been run on, applies a controlled alteration to it, re-runs the model, and presents the altered-input output against the original one. The alteration is authored or parameterized by the user, and its known content is what makes the resulting difference readable. The comparison, not either output alone, is the thing the user is given.","Control flow: for a held input x, the system constructs one or more variants x' by a user-specified transformation rule (granularity, target, magnitude), executes the same model on x and each x', and joins the outputs into a paired or batched display keyed to the transformation that produced each. The distinguishing structure is that the delta is *induced by the interface* rather than found in the data, so the manipulated dimension is known to the system and can be used as the organizing axis of the display. This transplants: the same signature describes a spreadsheet what-if sweep, a compiler flag sweep, or an injected-decoy audit of a retrieval index.",22,20,8,7,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-008,feedforward-preview-of-a-controls-outcome-before-acting,feedforward preview of a control's outcome before acting,"Each control carries, on the control itself, a rendering of what its range would produce if used.",UI,Embeds representative outcomes directly into a control before commitment.,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,6,29,,"Each control carries, on the control itself, a rendering of what its range would produce if used. The previews are sampled along the control's axis and are recomputed against the current state of every other control, so what is shown is the actual composed outcome, not an isolated illustration. The user therefore chooses a setting by looking rather than by trying.","For a control with a continuous or ordered domain, the system samples k positions in that domain, evaluates the full system output at each while holding all other controls at their present values, and renders the k results laid out along the control's own geometry. Any change to any control invalidates and re-renders every other control's samples. The two load-bearing properties are co-location of preview with control and joint conditioning across controls. Transplants to filter chains, parameter panels, configuration UIs of any kind.",2,1,1,8,P2,Parallel Alternatives,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-041,two-inputs-blended-or-interpolated-into-one-result,two inputs blended or interpolated into one result,The user selects two or more existing items and invokes an operation whose product is a single fused result rather than either operand.,UI,Provides a manipulation for visibly combining source artifacts into a new output.,U04,alternatives-and-comparative-exploration,Alternatives & Comparative Exploration,4,7,30,Latent Space Navigation,"The user selects two or more existing items and invokes an operation whose product is a single fused result rather than either operand. The blend may be continuous (interpolation along a mixing control) or discrete (a synthesized recombination). The operands remain identifiable as the things being combined, and the fusion is the system's contribution.","An operator takes two or more selected items as arguments and returns a result in the same space as the arguments; where the mixing is continuous, a control exposes the position between operands. Selecting the operands and invoking the operator are separate acts, and the result can itself become an operand.",40,28,7,41,P9,Direct-Manipulation Steering,C05,Alternatives & Comparative Exploration,active
1.0.0,pat-010,system-filled-content-left-editable-in-place,system-filled content left editable in place,"The system pre-populates the working artifact with generated content that occupies its final position, and the user's task begins from that filled state.",UI,Places generated material directly in its final editable surface.,U05,artifact-editing-and-revision,Artifact Editing & Revision,5,1,31,Automatic Execution,"The system pre-populates the working artifact with generated content that occupies its final position, and the user's task begins from that filled state. The content is directly editable where it sits rather than being accepted or rejected as a block. The starting point is a draft, not a blank.","Generated material is written into the artifact's own slots before the user acts, so the artifact is non-empty at first contact. Edit affordances operate on the material in place — the same handles the user would have for their own content — and there is no separate accept step gating it into the artifact. The generated portion may be marked (highlighted as adaptable, listed as alternatives) but it is already committed.",122,60,9,10,P3,Proactive Assistance,C06,Artifact Editing & Revision,active
1.0.0,pat-018,segmented-into-discrete-units-each-individually-addressable,"segmented into discrete units, each individually addressable","A continuous artifact is partitioned into named units, and each unit becomes an independently addressable object.",UI,Gives artifact parts persistent identities and per-unit controls.,U05,artifact-editing-and-revision,Artifact Editing & Revision,5,2,32,Persistent Structured Representation,"A continuous artifact is partitioned into named units, and each unit becomes an independently addressable object. Operations that would otherwise apply to the whole — editing, regenerating, tagging, attributing — apply per unit. The partition is materialized on screen, and its boundaries may themselves be adjustable.","A single artifact is divided into a set of non-overlapping parts, each given an identity (a name, a type label, a card, a row). Each part carries its own handles, so the artifact has as many operation targets as it has parts, all simultaneously present. Segmentation may be automatic or user-adjusted, but the resulting units persist as the unit of interaction rather than dissolving back into the whole.",167,91,10,18,P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,active
1.0.0,pat-019,propose-critique-revise-iteration-loop-over-the-same-artifact,propose-critique-revise iteration loop over the same artifact,The system opens with a concrete proposal rather than an empty field; the user reacts to it; the reaction becomes an input that yields a revised version of the same artifact.,UX,Defines repeated co-creation around one persistent artifact.,U05,artifact-editing-and-revision,Artifact Editing & Revision,5,3,33,,The system opens with a concrete proposal rather than an empty field; the user reacts to it; the reaction becomes an input that yields a revised version of the same artifact. The cycle repeats without returning to a blank specification.,"A cycle in the control graph in which the previous output is carried into the next call together with the user's critique. Artifact identity persists across iterations — the next state is an edit of the current one, not an independent draw — so the state at round n depends on rounds 1 through n-1.",157,78,11,19,P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,active
