pattern_id,pattern_slug,pattern_name,legacy_category_code,legacy_category_name,pre_filter_category_code,pre_filter_category_name,new_category_id,new_category_name,ui_ux_type,source_catalogue_row
pat-024,the-model-emits-a-program-or-parameterized-template-rather-than-the-finished-artifact,the model emits a program or parameterized template rather than the finished artifact,P5,Editable Generation Pipeline,C03,Generation & Model Orchestration,U05,Artifact Editing & Revision,UI,24
pat-029,an-existing-artifact-reverse-engineered-into-an-editable-representation,an existing artifact reverse-engineered into an editable representation,P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UI,29
pat-030,two-representations-kept-synchronized-and-editable-from-either-side,two representations kept synchronized and editable from either side,P5,Editable Generation Pipeline,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UI,30
pat-095,manual-authoring-path-retained-beside-the-generated-one,manual authoring path retained beside the generated one,P23,Standing Control Path,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UX,95
pat-096,fixed-disposition-set-offered-on-every-suggestion,fixed disposition set offered on every suggestion,P23,Standing Control Path,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UI,96
pat-097,the-run-can-be-suspended-redirected-or-exited-mid-flight,"the run can be suspended, redirected or exited mid-flight",P23,Standing Control Path,C06,Artifact Editing & Revision,U05,Artifact Editing & Revision,UX,97
pat-016,explicit-control-structure-over-dialogue-turns,explicit control structure over dialogue turns,P4,Branching Dialogue,C07,"Workflow, History & Session Structure",U06,"Workflow, History & Session Structure",UX,16
pat-017,fixed-staged-pipeline-the-user-is-walked-through,fixed staged pipeline the user is walked through,P5,Editable Generation Pipeline,C07,"Workflow, History & Session Structure",U06,"Workflow, History & Session Structure",UX,17
pat-023,the-task-decomposed-into-parts-handled-one-at-a-time,the task decomposed into parts handled one at a time,P5,Editable Generation Pipeline,C07,"Workflow, History & Session Structure",U06,"Workflow, History & Session Structure",UX,23
pat-080,revisitable-history-versioning-and-replay,"revisitable history, versioning and replay",P19,Retained Interaction State,C07,"Workflow, History & Session Structure",U06,"Workflow, History & Session Structure",UX,80
pat-001,linked-views-where-selecting-one-element-highlights-its-counterpart,linked views where selecting one element highlights its counterpart,P1,Source-Linked Outputs,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,1
pat-020,inspectable-intermediate-representation-between-input-and-output,inspectable intermediate representation between input and output,P5,Editable Generation Pipeline,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,20
pat-025,the-models-interpretation-of-the-input-externalized-on-screen,the model's interpretation of the input externalized on screen,P5,Editable Generation Pipeline,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,25
pat-028,the-agents-plan-rendered-on-screen-before-execution,the agent's plan rendered on screen before execution,P5,Editable Generation Pipeline,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,28
pat-031,pre-send-inspection-of-what-is-about-to-leave,pre-send inspection of what is about to leave,P5,Editable Generation Pipeline,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UX,31
pat-036,drill-down-from-aggregate-overview-to-individual-instance,drill-down from aggregate overview to individual instance,P7,Coordinated Visual Analytics,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,36
pat-037,corpus-laid-out-as-a-spatial-map-as-the-browse-surface,corpus laid out as a spatial map as the browse surface,P7,Coordinated Visual Analytics,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,37
pat-038,model-internals-rendered-as-an-inspectable-view,model internals rendered as an inspectable view,P7,Coordinated Visual Analytics,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,38
pat-051,disclosure-of-how-the-output-was-produced,disclosure of how the output was produced,P13,Verification Signals,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,51
pat-052,a-per-unit-attribute-encoded-by-colour-or-typography-in-the-content-itself,a per-unit attribute encoded by colour or typography in the content itself,P13,Verification Signals,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,52
pat-053,flagged-spans-highlighted-in-place-with-detail-revealed-on-demand,flagged spans highlighted in place with detail revealed on demand,P13,Verification Signals,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,53
pat-054,the-models-judgment-placed-alongside-the-persons-own,the model's judgment placed alongside the person's own,P13,Verification Signals,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UX,54
pat-055,a-single-aggregate-score-as-the-summary-readout,a single aggregate score as the summary readout,P13,Verification Signals,C08,"Explanation, Inspection & Verification",U07,"Explanation, Inspection & Verification",UI,55
pat-042,persona-or-stance-assigned-to-the-agent,persona or stance assigned to the agent,P10,Personified Agents,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UX,42
pat-044,a-generated-scenario-the-user-enters-as-a-participant,a generated scenario the user enters as a participant,P10,Personified Agents,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UX,44
pat-045,several-co-present-participants-around-one-system,several co-present participants around one system,P11,Role-Based Collaboration,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UX,45
pat-047,role-asymmetric-surfaces-over-one-system,role-asymmetric surfaces over one system,P11,Role-Based Collaboration,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UI,47
pat-048,the-model-fills-all-but-one-role-of-a-multi-party-procedure,the model fills all but one role of a multi-party procedure,P11,Role-Based Collaboration,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UX,48
pat-084,the-systems-participants-presented-as-one-kind-of-entity-while-composed-of-another,the system's participants presented as one kind of entity while composed of another,P20,Concealed System Basis,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UX,84
pat-094,the-artifact-under-construction-embodied-as-the-interlocutor,the artifact under construction embodied as the interlocutor,P22,Substituted Control Vocabulary,C10,Agent Identity & Multi-Party Roles,U08,Agent Identity & Multi-Party Roles,UX,94
pat-026,successive-workflow-stages-sharing-state-in-a-single-environment,successive workflow stages sharing state in a single environment,P5,Editable Generation Pipeline,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,26
pat-057,open-dialogue-running-alongside-the-artifact-being-viewed,open dialogue running alongside the artifact being viewed,P14,Interactive Summaries,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,57
pat-086,workspace-partitioned-into-fixed-functional-panels,workspace partitioned into fixed functional panels,P21,Fixed Surface Composition,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,86
pat-087,two-alternative-presentation-modes-for-the-same-content,two alternative presentation modes for the same content,P21,Fixed Surface Composition,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,87
pat-088,assistance-grafted-into-an-existing-tool-page-or-workflow,"assistance grafted into an existing tool, page or workflow",P21,Fixed Surface Composition,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,88
pat-089,scrollable-chat-log-surface-with-a-text-entry-area,scrollable chat-log surface with a text-entry area,P21,Fixed Surface Composition,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,89
pat-091,the-agents-presence-and-actions-shown-inside-the-shared-artifact,the agent's presence and actions shown inside the shared artifact,P21,Fixed Surface Composition,C11,Workspace Layout & Tool Integration,U09,Workspace Layout & Tool Integration,UI,91
pat-043,embodied-character-or-avatar-as-the-agents-form,embodied character or avatar as the agent's form,P10,Personified Agents,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,43
pat-049,output-spatially-registered-to-the-physical-scene,output spatially registered to the physical scene,P12,In-Situ AR Overlay,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,49
pat-050,a-generative-pipeline-interposed-between-the-scene-and-the-users-view,a generative pipeline interposed between the scene and the user's view,P12,In-Situ AR Overlay,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,50
pat-060,multiple-input-modalities-and-gestures-accepted-together,multiple input modalities and gestures accepted together,P16,Sensory Channel Binding,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,60
pat-061,physical-objects-and-physical-space-as-the-input-or-output-channel,physical objects and physical space as the input or output channel,P16,Sensory Channel Binding,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,61
pat-062,spoken-channel-as-the-interaction-surface-in-place-of-typed-input,spoken channel as the interaction surface in place of typed input,P16,Sensory Channel Binding,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,62
pat-063,the-same-content-delivered-in-more-than-one-modality,the same content delivered in more than one modality,P16,Sensory Channel Binding,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,63
pat-064,nonvisual-sequential-navigation-through-structure,nonvisual sequential navigation through structure,P16,Sensory Channel Binding,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,64
pat-065,screenless-task-delegation-with-no-visual-interface,screenless task delegation with no visual interface,P16,Sensory Channel Binding,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,65
pat-074,the-material-rewritten-as-human-readable-text,the material rewritten as human-readable text,P18,Source-to-Surface Rendering,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,74
pat-076,abstract-output-given-a-viewable-rendered-representation,abstract output given a viewable rendered representation,P18,Source-to-Surface Rendering,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,76
pat-078,a-composite-glyph-whose-parts-each-encode-a-named-component-of-one-property,a composite glyph whose parts each encode a named component of one property,P18,Source-to-Surface Rendering,C12,"Modality, Embodiment & Output Rendering",U10,"Modality, Embodiment & Output Rendering",UI,78
